GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_ayo,uss_16_dem_has,gov_16_rep_sun,gov_16_dem_van,gov_18_rep_sun,gov_18_dem_kel,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_sha,uss_20_rep_mes,gov_20_dem_fel,gov_20_rep_sun,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
33001ALTO01,NH,Belknap County,ALTO01,5894,67,5538,14,13,43,0,28,191,4942,43,4684,14,11,40,0,28,122,2213.5,1159.7,2215.8,1200.7,2177.8,1171.3,1942.8,751.1,1447.8,2433.8,1608,2229.2,762.7,3110.6,2202.4,1177.2,1942.8,751.1,2591.2,1272.9,2331.9,1157.3
33001BARN01,NH,Belknap County,BARN01,4915,82,4568,13,6,18,2,17,209,3919,50,3672,13,4,18,2,11,149,1530.4,933.6,1465.1,1042.5,1464.7,1026.5,1257.1,706.2,1161.3,1709.2,1320.5,1537.8,669,2196.3,1486.8,1000.9,1257.1,706.2,1814.5,1050.3,1594.4,979.9
33001BELM01,NH,Belknap County,BELM01,7314,146,6747,24,8,61,3,16,309,5858,87,5471,15,5,52,2,10,216,2179.2,1266.9,1996.6,1496.6,2033.1,1405.3,1807.8,855.4,1602.1,2351.4,1866.5,2010.6,810.8,3114.8,2069.6,1389.6,1807.8,855.4,2492.2,1426.5,2213.4,1329.1
33001CENT01,NH,Belknap County,CENT01,1040,9,984,8,0,1,0,5,33,880,5,845,8,0,0,0,5,17,379.6,334.5,390.2,339,405.3,317.3,393.2,234.9,396,430,411.5,399.8,232.8,583.4,391.7,330.3,393.2,234.9,471.1,346.7,425.9,323.7
33001GILF01,NH,Belknap County,GILF01,7699,153,7184,21,12,61,2,32,234,6365,102,6014,16,11,38,1,25,158,2555.6,2006,2544.1,2104.2,2600.8,1945.4,2342.6,1423.8,2545.4,2797.6,2761.4,2517.5,1392.8,3862.7,2566.9,2018.5,2342.6,1423.8,3059.3,2233.2,2745.9,2025.6
33001GILM01,NH,Belknap County,GILM01,3945,45,3667,12,5,15,0,16,185,3165,20,2969,7,5,12,0,11,141,1327.5,784.7,1236,894.2,1235.9,863.3,1111.4,590.4,1015.7,1417.2,1146.1,1256.9,619.3,1800.6,1266.5,847.4,1111.4,590.4,1491.5,927,1340.8,844.8
33001LACO01,NH,Belknap County,LACO01,2994,96,2696,39,8,31,1,3,120,2532,64,2335,25,5,26,0,3,74,944,701.7,958,744.5,969.4,694.8,890,494,768.6,969.9,856,857.6,418.6,1308.9,957.1,713.6,890,494,1045.5,681.1,985.4,668.3
33001LACO02,NH,Belknap County,LACO02,2754,93,2450,32,7,54,1,3,114,2227,57,2012,18,6,51,0,2,81,612,469,571,518,582,469,509,346,589.9,670.4,649.4,585.9,338.7,903.5,588.3,485.3,509,346,719.9,526,633.4,482.9
33001LACO03,NH,Belknap County,LACO03,2429,51,2183,12,13,47,1,5,117,2043,30,1874,7,13,38,0,5,76,526.3,555.1,548.1,573.4,544.6,547.2,501,398.2,824,617,830,550,472,970,539.7,558.6,501,398.2,712.3,708.7,608.2,600
33001LACO04,NH,Belknap County,LACO04,2931,79,2588,48,8,50,0,3,155,2357,48,2127,33,6,40,0,2,101,624,483.6,548,592.1,577.6,536.8,515.4,369,663.1,673.3,725.3,579.5,381.8,938.8,583.2,537.5,515.4,369,730.6,590.1,636.7,536
33001LACO05,NH,Belknap County,LACO05,2694,76,2445,18,13,28,0,6,108,2117,54,1943,13,7,21,0,0,79,561,416,479,481,523,430,418,271,440,608,510,520,246,814,521,442.3,418,271,647.3,398.7,560.4,399.1
33001LACO06,NH,Belknap County,LACO06,3069,62,2818,30,6,25,0,2,126,2643,43,2469,19,6,21,0,2,83,969.6,633.4,904.6,729.7,933.9,679.6,835.6,469.8,803.8,1037.9,884.5,937.3,443.2,1402.3,936,680.9,835.6,469.8,1125.9,710.5,1003,663.4
33001MERE01,NH,Belknap County,MERE01,6662,138,6204,24,8,56,0,10,222,5686,92,5361,12,8,45,0,8,160,2166.1,1713.9,2237.8,1766.2,2214.5,1710.4,1982.5,1219.4,2144.4,2215.7,2329.7,1971.1,1188.1,3146.6,2206.1,1730.2,1982.5,1219.4,2444.5,1887.4,2276.3,1724.6
33001NEWH01,NH,Belknap County,NEWH01,2377,33,2197,7,1,14,0,19,106,1980,17,1851,6,1,10,0,19,76,738.1,546,741.4,564.8,705.3,590.1,653.2,453.4,700.2,811.3,765.9,722.1,440.7,1067.8,728.3,567,653.2,453.4,867.1,635.6,777,580.2
33001SANB01,NH,Belknap County,SANB01,3026,55,2825,13,3,18,0,10,102,2507,32,2366,11,1,18,0,9,70,1050.7,758.2,1010,851.1,990.7,839.2,927.4,587,888.2,1151.4,1007,1017.3,565,1455.4,1017.1,816.1,927.4,587,1208,820.1,1086.1,785.1
33001TILT01,NH,Belknap County,TILT01,3962,76,3620,9,11,60,1,13,172,3232,44,2996,9,11,44,1,8,119,1007.1,794.7,931.4,890.7,903.6,885.4,825.4,551.9,958.8,1081.1,1095.1,910.5,541.3,1497.2,947.4,856.9,825.4,551.9,1163,865.1,1022.4,816.8
33003ALBA01,NH,Carroll County,ALBA01,759,14,700,3,1,5,0,5,31,635,12,592,3,1,4,0,3,20,152.9,163.9,146.6,178,144.3,173.6,123.2,151.8,210.2,160.1,228.6,137.6,136.2,232.3,147.9,171.8,123.2,151.8,176.7,191.7,156.7,177.5
33003BART01,NH,Carroll County,BART01,3200,38,3041,10,4,14,0,10,83,2807,33,2691,8,4,14,0,8,49,726.4,1088.7,805.1,1076.7,830.9,1013,771.2,905.6,1367.3,769.2,1408.1,709.5,891.6,1226,787.5,1059.5,771.2,905.6,901.6,1222.4,834.1,1107.3
33003BROO01,NH,Carroll County,BROO01,755,7,723,0,1,0,0,0,24,634,7,611,0,1,0,0,0,15,257.9,153.5,256.9,170.2,255.9,157.5,247,126.9,214.5,310,242.1,276.6,126,393.7,256.9,160.4,247,126.9,326.8,194.2,285.4,170.1
33003CHAT01,NH,Carroll County,CHAT01,341,3,322,0,0,0,0,2,14,280,2,264,0,0,0,0,2,12,123.4,104.6,127.7,107.8,127.5,101.3,111.3,89.8,137.7,151.9,145.2,138.4,95.6,197,126.2,104.5,111.3,89.8,162.4,126.2,139.6,111.7
33003CONW01,NH,Carroll County,CONW01,9822,176,9099,24,32,134,1,26,330,8231,138,7669,22,29,107,1,26,239,2188.2,2697.1,2219.4,2726.9,2304.8,2463.2,1858.7,2102.2,3355.6,2363.2,3513.5,2093.4,2087.2,3533.5,2237.4,2629.1,1858.7,2102.2,2663.4,2985.4,2365.9,2706.5
33003EATO01,NH,Carroll County,EATO01,405,3,387,0,0,0,3,3,9,366,3,350,0,0,0,3,2,8,112,160.7,133.1,158.7,135.2,144.4,121.6,133.9,192.6,120.2,201.8,106.9,131.9,176.8,126.7,154.6,121.6,133.9,134.7,175.4,129.4,160.6
33003EFFI01,NH,Carroll County,EFFI01,1691,28,1578,4,9,11,0,7,54,1389,23,1295,4,9,11,0,7,40,492.4,327.6,442,362.8,450.2,361.9,382.1,254.7,404.6,539,452.7,478.5,279.1,658.3,461.5,350.8,382.1,254.7,558.6,378.8,491.8,349.1
33003FREE01,NH,Carroll County,FREE01,1689,12,1607,0,0,7,0,4,59,1503,6,1444,0,0,5,0,4,44,467,415.4,474.1,428.5,482.9,402.3,433.7,339,525.8,527.6,569.9,465.9,325.7,717,474.7,415.4,433.7,339,570.2,473.8,509.7,429.5
33003HALE01,NH,Carroll County,HALE01,132,1,125,0,0,0,0,0,6,130,0,125,0,0,0,0,0,5,96.6,25.9,93.6,27.9,95.6,26.9,85.6,28.9,30.9,84.6,33.8,85.6,19.9,97.5,95.2,26.9,85.6,28.9,89.2,28.2,91.3,27.7
33003HART01,NH,Carroll County,HART01,68,4,61,0,1,0,0,0,2,61,2,57,0,1,0,0,0,1,14,17,17,21,15,21,19,15,23,20,21,19,17,26,15.3,19.7,19,15,21.7,20.3,18.6,19.3
33003JACK01,NH,Carroll County,JACK01,1028,9,993,2,0,3,0,3,18,917,4,891,2,0,3,0,3,14,212,430,257,418,267,406,227,403,567,212,577,205,424,328,245.3,418,227,403,248.3,522.7,244,460.7
33003MADI01,NH,Carroll County,MADI01,2565,57,2413,10,4,4,1,19,57,2155,37,2066,6,0,0,1,5,40,646.4,712.6,681,740.3,709.7,688.9,599,612.8,915.2,751.2,984.4,681,588.1,1060.6,679,713.9,599,612.8,830.9,829.3,732.7,748.9
33003MOUL01,NH,Carroll County,MOUL01,4918,105,4575,13,8,42,0,31,144,4279,64,4024,10,8,35,0,28,110,1872.4,1142,1931.9,1174.7,1934.2,1123.7,1750.3,855,1594.3,1981.2,1688.6,1883.4,849.9,2717.4,1912.9,1146.8,1750.3,855,2194,1377.6,2010.1,1204
33003OSSI01,NH,Carroll County,OSSI01,4372,56,4017,23,10,33,0,14,219,3648,41,3399,19,9,24,0,7,149,1282.5,763.9,1188.7,883.6,1224.3,812.2,1050,547.9,957.4,1473.6,1063.3,1309.2,562.6,1841.6,1231.8,819.9,1050,547.9,1541.5,861.1,1338.6,798.7
33003SAND01,NH,Carroll County,SAND01,1466,18,1395,0,4,4,0,2,43,1262,13,1201,0,4,4,0,1,39,360,578,409,591,403,575,391,523,718,413,741,387,526,584,390.7,581.3,391,523,461.3,661.7,421,607.4
33003TAMW01,NH,Carroll County,TAMW01,2812,35,2635,5,6,19,0,21,91,2369,23,2232,3,6,14,0,17,74,762.2,740.3,708.1,806.4,758.1,724.4,677,620.2,900.7,839.3,963.8,753.1,645.1,1095.8,742.8,757,677,620.2,896.1,836.5,799.1,771.5
33003TUFT01,NH,Carroll County,TUFT01,2467,34,2356,0,0,11,0,12,54,2135,21,2066,0,0,8,0,9,31,885.4,667.8,950.1,666,961.2,619.2,890,521.6,866.6,1005.8,912.7,933.6,488.5,1376.8,932.3,651,890,521.6,1105.4,755.9,1000.4,677.5
33003WAKE01,NH,Carroll County,WAKE01,5201,65,4881,19,11,27,1,21,176,4298,47,4073,12,7,20,1,15,123,1742,873.7,1623,973.8,1657.9,889.7,1388.1,638.6,1240.9,1987.2,1421,1730.1,724.5,2540.5,1674.3,912.4,1388.1,638.6,2085.9,1128.8,1809.8,966
33003WOLF01,NH,Carroll County,WOLF01,6416,104,6039,18,9,44,0,26,176,5467,59,5211,9,9,34,0,21,124,2192.6,1882.9,2325.6,1874,2386.8,1755.1,2141.6,1524.3,2370.7,2390.1,2440.7,2254.6,1474.7,3243.9,2301.6,1837.3,2141.6,1524.3,2629.5,2095.4,2419.3,1903.2
33005ALST01,NH,Cheshire County,ALST01,1864,29,1736,0,0,6,0,4,89,1562,19,1471,0,0,5,0,4,63,442.9,520.8,448.9,560.7,463.9,527.7,389.1,467.9,682.4,475.9,707.3,438,499.8,647.5,451.9,536.4,389.1,467.9,520.4,629.8,472.3,566.6
33005CHES01,NH,Cheshire County,CHES01,3552,39,3314,9,8,23,0,16,143,2893,28,2727,5,8,15,0,15,95,917.3,1173.2,939,1195.6,984.2,1114,828.9,1005.6,1398,965,1427.8,867.1,1057.2,1291.6,946.8,1161,828.9,1005.6,1041.3,1294.3,970.5,1195.9
33005DUBL01,NH,Cheshire County,DUBL01,1532,50,1374,4,3,22,3,15,61,1284,28,1167,4,3,19,2,15,46,396.8,655.9,448,650,428.1,643.8,397.5,556.6,759.3,432.3,765.4,411.3,547.3,631.5,424.3,649.9,397.5,556.6,491.7,690.7,449.4,654
33005FITZ01,NH,Cheshire County,FITZ01,2351,51,2135,9,9,11,1,13,122,1933,27,1778,6,9,9,1,9,94,603.3,558.8,580.1,574.2,585.9,555.9,482.2,468.7,644.9,660.4,696.3,577.2,428,807.6,589.7,563,482.2,468.7,681.7,589.7,613.8,561
33005GILS01,NH,Cheshire County,GILS01,752,24,683,4,4,3,0,5,29,634,16,580,4,3,1,0,5,25,231,197,199,225,208,217,194,164,240,263,272,220,160,337,212.7,213,194,164,273.3,224,236,210.7
33005HARR01,NH,Cheshire County,HARR01,984,15,920,2,1,9,0,7,30,836,11,789,2,1,6,0,6,21,204.9,450.6,216.2,458.6,205.1,463.6,176.9,452.9,558.3,204.1,569.4,176,436.8,319.6,208.7,457.6,176.9,452.9,233.2,521.5,214.7,484.3
33005HINS01,NH,Cheshire County,HINS01,3948,59,3537,28,9,47,24,13,231,3177,40,2896,19,9,37,17,7,152,732,915.8,669.1,972.7,701.1,922.8,575.2,724,1046.6,827.9,1137.5,666.1,712.1,1097.6,700.7,937.1,575.2,724,863.9,965.4,752.7,918.8
33005JAFF01,NH,Cheshire County,JAFF01,5320,125,4800,22,11,95,0,29,238,4260,84,3903,22,11,68,0,15,157,1276.4,1302.4,1305.2,1354,1292.3,1291.3,1147.9,1036,1517.9,1401.7,1665.8,1242.7,1047.9,1890.4,1291.3,1315.9,1147.9,1036,1511.6,1410.5,1365.2,1316.5
33005KEEN01,NH,Cheshire County,KEEN01,3472,135,3067,55,3,64,1,19,128,3157,109,2832,52,2,60,1,12,89,672.4,1522.9,642.7,1566.9,711.8,1346.7,343.8,1147.4,1374.6,472.7,1296.9,380.5,929.4,768.4,675.6,1478.8,343.8,1147.4,540.5,1200.3,570.3,1312.1
33005KEEN02,NH,Cheshire County,KEEN02,4725,146,4185,71,5,72,2,11,233,3877,106,3479,60,2,59,2,10,159,696.4,1649.6,664.2,1701.8,696.9,1615.4,530.2,1375.8,1851.3,715.9,1872.8,626.3,1397.3,1165.2,685.8,1655.6,530.2,1375.8,835.8,1707.1,727.9,1637.7
33005KEEN03,NH,Cheshire County,KEEN03,4720,134,4218,43,9,96,2,17,201,3749,80,3421,33,9,71,0,12,123,734,1420.1,748.9,1456,767.9,1380.2,628.3,1196.7,1690.3,797.8,1762.1,701.1,1221.6,1240.6,750.3,1418.7,628.3,1196.7,913.1,1558,802.6,1446.7
33005KEEN04,NH,Cheshire County,KEEN04,5104,142,4492,65,9,184,1,20,191,4247,103,3788,52,9,149,1,14,131,791,1581,803,1618,825,1513,681,1336,1921,920,2000,785,1406,1394,806.3,1570.7,681,1336,1033,1775.7,885.6,1625
33005KEEN05,NH,Cheshire County,KEEN05,5026,116,4572,43,4,109,1,17,164,4168,82,3867,31,3,75,0,11,99,942,1759.4,1039.6,1758.5,1072.6,1636.5,720.2,1484.3,2130.1,861.7,2197,739.6,1543.2,1402,1018.1,1718.2,720.2,1484.3,1001.1,1956.8,968.2,1787
33005MRLB01,NH,Cheshire County,MRLB01,2096,22,1942,9,3,12,1,19,88,1673,10,1580,5,1,7,0,13,57,421.2,723.1,419.7,745.1,410.8,717.3,329.1,613.5,815.6,450.4,853.6,396.3,546.6,695.5,417.2,728.5,329.1,613.5,514.1,738.6,446.1,716.4
33005MRLW01,NH,Cheshire County,MRLW01,749,16,680,1,1,4,0,3,44,611,8,573,1,1,4,0,3,21,200,219,203,232,195,229,178,181,277,207,289,184,196,284,199.3,226.7,178,181,225,254,207.3,231.9
33005NELS01,NH,Cheshire County,NELS01,629,14,586,1,1,1,0,1,25,520,10,496,0,1,1,0,0,12,137.8,258.7,155.8,269.7,155.8,244.7,116.9,236.7,274.7,163.8,288.7,151.8,222.7,207.8,149.8,257.7,116.9,236.7,174.5,262,155.7,256.6
33005RICH01,NH,Cheshire County,RICH01,1197,45,1073,0,2,4,0,13,60,956,27,879,0,2,4,0,10,34,361.8,273.7,345.6,284,328.8,272.6,296.9,220.7,297.3,417.8,312.8,378.2,201.4,491.4,345.4,276.8,296.9,220.7,429.1,270.5,374.4,266.1
33005RIND01,NH,Cheshire County,RIND01,6476,199,5811,160,17,71,5,16,197,5242,158,4706,150,17,60,5,11,135,1958.6,1290.5,1951.6,1292.5,1986.6,1204.6,1577.1,929.9,1441.3,2141.4,1506.2,1984.6,928.9,2575.9,1965.6,1262.5,1577.1,929.9,2234,1292.1,2025.1,1227.7
33005ROXB01,NH,Cheshire County,ROXB01,220,3,210,2,0,0,0,0,5,182,2,173,2,0,0,0,0,5,57,72.8,54,75.8,48.4,67.9,35.6,75.9,92.3,51.3,95.3,42.5,71.2,63,53.2,72.2,35.6,75.9,52.3,86.3,50.3,78.7
33005STOD01,NH,Cheshire County,STOD01,1374,20,1275,6,1,9,0,8,55,1104,6,1045,4,0,8,0,6,35,378.2,350.3,374.2,359.3,363.2,372.3,325.1,278.3,419.3,430.2,463.3,396.2,353.3,554.2,371.8,360.6,325.1,278.3,460.2,412,403,370.9
33005SULL01,NH,Cheshire County,SULL01,658,9,599,4,2,8,0,2,34,561,7,519,4,0,7,0,0,24,172.1,196.1,180.1,210.1,175.1,203.1,153.1,155.1,216.1,186.1,235.1,153.1,139.1,248.1,175.7,203.1,153.1,155.1,195.7,196.8,181.1,193.5
33005SURR01,NH,Cheshire County,SURR01,820,15,766,1,1,1,0,1,35,634,11,605,1,0,1,0,1,15,241.3,236.4,237.4,257.1,236.5,251,192,196.5,305.8,249.4,328.5,206.9,206.4,336.9,238.4,248.1,192,196.5,264.4,280.2,242.9,254.5
33005SWAN01,NH,Cheshire County,SWAN01,7270,155,6578,35,10,131,3,34,324,5949,110,5457,21,8,105,2,25,221,1806.7,1786,1719.8,1877.9,1781,1742.5,1466.7,1376.8,1984.7,1742.5,2174.4,1521.1,1280,2376.1,1769.2,1802.1,1466.7,1376.8,1879.9,1813,1773.4,1746
33005TROY01,NH,Cheshire County,TROY01,2130,37,1971,19,7,28,0,2,66,1699,24,1592,15,3,23,0,0,42,525.9,438.5,469.7,501.5,482.8,462,402.8,342.9,532.3,606.1,580.2,517.2,334.4,782.6,492.8,467.3,402.8,342.9,635.3,482.3,541,456
33005WALP01,NH,Cheshire County,WALP01,3633,84,3343,19,5,16,1,7,158,3004,61,2780,16,5,16,1,7,118,761.4,1175.1,806.3,1229.6,859.3,1151.4,743.2,1005.9,1477.7,840.6,1528.2,750.6,1003.2,1290.8,809,1185.3,743.2,1005.9,960.6,1336.3,864.6,1224.4
33005WEST01,NH,Cheshire County,WEST01,1706,23,1615,5,2,9,0,7,45,1447,16,1373,5,2,5,0,6,40,411,555,428,548,434,528,372,495,660,453,709,388,467,630,424.3,543.7,372,495,490.3,612,445.1,566
33005WINC01,NH,Cheshire County,WINC01,4150,95,3782,31,19,32,1,6,184,3346,63,3099,18,14,21,1,1,129,830,841.2,723.9,893.3,737.9,854.2,618.8,686,987.4,989.1,1090.5,815.9,692.9,1223.4,763.9,862.9,618.8,686,1009.5,923.6,848.4,863.6
33007ATGT01,NH,Coos County,ATGT01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.3,0.9,0.4,0.8,0.3,0.8,0.2,0.4,1,0.5,0.9,0.2,1.3,0.9,0.3,0.8,0.2,1.1,0.4,0.9,0.3
33007BERL01,NH,Coos County,BERL01,1971,33,1811,0,4,22,0,0,101,1605,27,1492,0,4,20,0,0,62,335.3,371,311.2,411.4,311.2,390,269.6,258.2,407.6,351.6,461.3,280,262.2,483.6,319.2,390.8,269.6,258.2,371.7,377,334.6,365.9
33007BERL02,NH,Coos County,BERL02,5252,277,4352,386,14,33,1,11,178,4482,236,3706,383,11,26,1,7,112,984.4,1089.2,913.6,1207.9,913.6,1144.9,791.5,758.1,1196.8,1032.3,1354.5,822.2,769.8,1419.7,937.2,1147.4,791.5,758.1,1091.4,1107,982.5,1074.5
33007BERL03,NH,Coos County,BERL03,2202,36,2031,19,18,8,0,3,87,1740,29,1617,11,15,7,0,3,58,446.3,493.8,414.2,547.7,414.2,519.1,358.9,343.7,542.6,468.1,614.1,372.8,349,643.7,424.9,520.2,358.9,343.7,494.9,501.9,445.5,487.2
33007BGRT01,NH,Coos County,BGRT01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007BPUR01,NH,Coos County,BPUR01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007CAMB01,NH,Coos County,CAMB01,16,1,14,0,0,0,0,0,1,14,0,13,0,0,0,0,0,1,1,1,1,1,0,2,2,0,3,4,3,4,0,7,0.7,1.3,2,0,5,2,2.7,1.4
33007CARR01,NH,Coos County,CARR01,820,11,758,2,0,14,0,2,33,719,8,667,1,0,14,0,2,27,245,213,240,227,248,217,228,163,266,267,300,228,159,371,244.3,219,228,163,288.7,241.7,261,220.7
33007CHAN01,NH,Coos County,CHAN01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007CLAR01,NH,Coos County,CLAR01,294,1,288,0,0,1,0,1,3,261,1,257,0,0,0,0,0,3,98,68,87.9,78.2,87.9,78,72.1,50.8,72.6,111.3,80.9,96,39,136.1,91.3,74.7,72.1,50.8,114.5,64.1,98.5,66.8
33007COLE01,NH,Coos County,COLE01,2084,46,1940,10,2,21,2,2,61,1742,23,1642,7,2,15,2,2,49,585.4,354.3,561.7,409.6,535,403.7,439.3,280.3,418,630,475,556,239,808,560.7,389.2,439.3,280.3,664.7,377.3,587.9,368.5
33007COLU01,NH,Coos County,COLU01,659,6,631,0,1,1,0,2,18,581,3,561,0,1,1,0,2,13,219.2,109.2,213.1,124.2,210.1,111.2,162.1,89.1,114.2,235.2,148.2,198.2,70.1,287.3,214.1,114.9,162.1,89.1,240.2,110.8,217.9,109.5
33007CRAW01,NH,Coos County,CRAW01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007CUTT01,NH,Coos County,CUTT01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007DALT01,NH,Coos County,DALT01,933,8,866,1,2,2,0,7,47,772,3,722,0,2,1,0,7,37,284.9,196.3,278.9,213.8,267.3,198,236.1,143.8,236.8,301,271.8,262.8,141.7,379,277,202.7,236.1,143.8,314.3,216.8,287.1,200.3
33007DIXG01,NH,Coos County,DIXG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007DIXV01,NH,Coos County,DIXV01,4,1,0,0,0,0,0,2,1,3,0,0,0,0,0,0,2,1,2,4,4,4,6,2,2,2,5,0,4,1,1,4,4,3.3,2,2,1.7,3.3,2.7,3.1
33007DUMM01,NH,Coos County,DUMM01,306,6,290,0,2,1,0,1,6,266,5,251,0,2,1,0,1,6,100.3,66,101.2,72.1,94.2,80,64.1,59.7,68.1,114.4,83.3,95.2,53.6,129.8,98.6,72.7,64.1,59.7,113.1,68.4,99.9,69
33007ERRO01,NH,Coos County,ERRO01,298,1,294,0,1,1,0,0,1,272,1,268,0,1,1,0,0,1,135.2,54,116.2,72,123.2,60,109.2,52,71,144.2,79.1,131.1,29,183.2,124.8,62,109.2,52,152.8,59.7,134.6,59.6
33007ERVI01,NH,Coos County,ERVI01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007GORH01,NH,Coos County,GORH01,2698,43,2525,12,7,28,0,5,78,2260,27,2142,6,6,25,0,2,52,693,770,663,828,678,768,579,567,904,748,1012,616,565,1065,678,788.7,579,567,809.7,827,720.3,773.4
33007GRGT01,NH,Coos County,GRGT01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0.3,0.7,0.3,0.7
33007HADL01,NH,Coos County,HADL01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007JEFF01,NH,Coos County,JEFF01,1043,13,984,0,0,5,0,0,41,877,7,835,0,0,5,0,0,30,357,216,349,243,337,243,311,180,257,394,302,331,162,489,347.7,234,311,180,404.7,240.3,366.9,229
