GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_lea,uss_16_rep_mil,gov_16_dem_min,gov_16_rep_sco,atg_16_dem_don,atg_16_rep_buc,uss_18_rep_zup,gov_18_dem_hal,gov_18_rep_sco,atg_18_dem_don,atg_18_rep_wil,sos_18_dem_con,sos_18_rep_pai,pre_20_dem_bid,pre_20_rep_tru,gov_20_dem_zuc,gov_20_rep_sco,atg_20_dem_don,atg_20_rep_pai,sos_20_dem_con,sos_20_rep_pai,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
50007500713,VT,Chittenden County,500713,9402,262,8045,202,31,408,4,31,419,7369,160,6475,133,24,313,4,21,239,2629.7,1170.2,2855.4,1369.5,1873.8,2426.6,3109.8,1029.4,1065.1,1322.7,2358,2748,877.3,2586,1032.8,3677.5,1391.9,1175.8,3903.2,3650.9,1146.4,3362.9,1253.6,1498.9,2617.2,1333.3,2218.9,1923.8,2966.8,1585.3,2635.7
50007500714,VT,Chittenden County,500714,2362,46,2118,20,0,51,0,12,115,1860,31,1703,11,0,39,0,11,65,849,425,890,466,582,816,985,352,395,458,764,905,316,842,365,1127,452,342,1230,1125,398,1043,425,514.8,826.5,460,735,626.2,909.2,533.7,831.6
50007500715,VT,Chittenden County,500715,10330,269,8576,240,7,732,3,32,471,8290,198,7018,185,4,570,3,23,289,3240.7,1412.5,3492.4,1667.4,2387.8,2879.8,3761.3,1285.9,1200.9,1936.2,2663.1,3511.7,1025.7,3379.6,1140.4,4722,1543,1563.6,4668.4,4600.4,1327.6,4253.2,1409,1811.4,3220.5,1507.5,2942.5,2237,3784.8,1852,3349.9
50007500717,VT,Chittenden County,500717,4698,103,4262,19,10,28,3,43,230,3634,84,3336,14,9,17,3,32,139,1726.8,623.3,1823.8,736.4,1359.6,1246.6,1978.9,512.3,559.3,1051.5,1244.6,1784.8,465.2,1726.8,533.3,2255,749.4,989.4,2017,2251,568.3,2054.9,631.3,779.6,1722.3,700.6,1521.1,991.5,1887.6,823.9,1727.5
50007500718,VT,Chittenden County,500718,1934,38,1777,8,5,10,0,19,77,1574,32,1453,4,5,10,0,12,58,777.7,227,877.4,264.5,685.9,491.5,942.5,193.4,199.4,545.8,499.4,842.9,180.6,823.1,208.2,1017.5,303,436.2,895.2,1030.4,230,944.5,260.6,294.1,820.9,271.9,737.3,422.2,857.2,329.4,811.3
50007500719,VT,Chittenden County,500719,5104,119,4623,45,6,35,0,25,251,3991,75,3672,28,6,29,0,21,160,2017.6,889.9,2115.6,1061.7,1548.2,1702.2,2247.5,856.9,781,1180.3,1632.5,2065.6,683.3,1992.7,770.2,2657.9,905.1,903.8,2663.4,2578.6,799.2,2442.7,851.1,1127.7,1982.2,966.7,1746.2,1304.7,2145.8,1133.1,1977.3
50007500720,VT,Chittenden County,500720,10723,179,9759,112,36,95,4,37,501,8543,126,7867,70,31,71,4,23,351,2241.9,2067.4,2642,2150.7,1472.4,3462.7,3211.9,1536.5,1780.4,1077.7,3238.8,2770.2,1485.1,2433.4,1771.9,3318.3,2589.6,1003.5,4835.2,3649.4,1959.7,3093.9,2135.1,2304.3,2392.1,2069,2093.8,2879.9,2766.3,2417.7,2446.8
50007500721,VT,Chittenden County,500721,4167,83,3833,19,0,22,0,21,189,3269,57,3050,19,0,16,0,14,113,1692.2,514.4,1761.1,659.3,1300.6,1171.7,1853,500.5,494.5,1101.8,1175.7,1797.1,423.5,1766.1,479.5,2284.5,571.4,894,1976.9,2200.6,469.5,2096.7,536.4,711.5,1651.7,643.3,1555,888.5,1869,747.8,1704.3
50007500722,VT,Chittenden County,500722,794,18,707,4,4,12,1,7,41,621,14,554,4,4,9,1,6,29,200,110,219,113,134,207,250,79,102,107,196,217,83,206,93,310,131,112,322,300,105,278,120,127.2,200.8,118.5,176.7,169.5,250,138.4,212.1
50007500724,VT,Chittenden County,500724,7717,173,6946,59,9,149,6,36,339,6161,112,5652,49,9,115,6,32,186,3619,993.2,3692.7,1281.6,2718.2,2306.8,3849.9,968.8,968.8,1966.2,2504.9,3611.2,759.2,3482.1,894.2,4661.1,1006.5,1598.5,4041,4419.8,873.6,4211.4,935.8,1387.6,3470,1281.8,3019.8,1714.2,3722.7,1461.2,3439.1
50007500725,VT,Chittenden County,500725,4627,124,3938,89,2,264,1,24,185,3795,80,3297,69,2,210,1,14,122,1670.3,380.9,1704.7,492.6,1300,946.4,1808.4,341.3,370.3,1008,990.4,1701.1,256.8,1649.2,314.9,2210.4,389.7,849.7,1742.5,2127.7,317.5,2009,355.4,540.3,1620.9,483.1,1452.8,701.3,1799.2,574.9,1639.9
50007500726,VT,Chittenden County,500726,5467,165,4504,101,4,422,2,31,238,4222,98,3581,61,4,324,2,12,140,2063.7,651.9,2090.6,805.9,1442.8,1481.8,2241.6,579.9,644.9,1101.8,1611.7,2207.6,460.9,2054.7,589.9,2883.5,705.9,823.9,2774.5,2815.5,577.9,2558.6,666.9,879.9,1959.7,826.9,1788,1181.3,2270.4,962.7,2025.8
50007500727,VT,Chittenden County,500727,5572,228,4500,249,6,365,1,26,197,4822,169,4020,178,6,294,1,18,136,1903.5,431.6,1916.5,537.9,1592,967.3,2029.2,383,403.2,1307.1,1078.3,2016.4,337.6,1951.4,402.9,2687.8,514.7,1184,1976.7,2532.9,397.3,2353.4,446.6,580,1860.3,555.5,1758.3,833.8,2189.6,656.4,1952.2
50007500728,VT,Chittenden County,500728,4626,170,3715,174,5,309,3,24,226,3839,127,3160,121,5,248,3,20,155,1374.3,517.2,1406.1,618.1,1076.5,1039.3,1603.3,434.6,421.2,814.3,1011.4,1462.5,347.8,1399.6,407.1,1952.5,580,806.5,1693.5,1930,453.4,1748.2,498.4,652.3,1365,546.9,1225.5,806.3,1609.3,668.5,1415.8
50007500729,VT,Chittenden County,500729,3129,50,2900,10,2,22,0,10,135,2477,39,2315,9,2,16,0,10,86,1239.2,504.8,1309.2,574.1,937,991.3,1364.4,489.7,450.6,750.5,990,1261.2,442.2,1241,474.4,1634.5,526.7,643,1540.2,1539.8,494.4,1469.6,506.6,640,1212.4,589.3,1084.3,767,1321.7,665.4,1217.2
50007500730,VT,Chittenden County,500730,2062,33,1890,13,5,11,1,8,101,1704,27,1578,6,4,9,1,8,71,696.3,371.1,782.3,420.1,494.2,732.2,832.3,344.1,306.1,402.2,658.2,756.3,260.1,725.3,299.1,964.3,413.1,325.1,1068.3,943.3,355.1,848.3,362.1,466.9,701.2,380.9,627.9,549.7,770.3,465.8,706.3
50007500731,VT,Chittenden County,500731,10103,223,8941,143,12,354,3,47,380,8123,174,7306,93,11,272,3,25,239,3582.7,1515.3,3752.3,1794,2426.8,3222.6,4014.3,1384.8,1408.2,1827.7,3158,3786.4,1137.6,3576.2,1330.6,5066,1739.7,1587.2,5268.9,4958.6,1467.5,4716.2,1551.2,1979.2,3444,1758.6,3063.4,2506.8,4082,2081.5,3572.2
50007500732,VT,Chittenden County,500732,7997,247,5633,707,36,898,3,35,438,6749,186,5075,413,19,695,3,27,331,2136.4,550.2,2212.2,623.1,1906.9,1085.7,2346,458.2,398.1,1658.2,1094.9,2337.3,354.4,2285.6,412,3083.7,605.8,1605.1,2016.4,2838.1,471.5,2668.2,496.1,679.3,2150.4,564.9,2093.7,897.4,2548.8,713.9,2279.8
50009500901,VT,Essex County,500901,21,0,16,1,0,0,0,0,4,19,0,16,0,0,0,0,0,3,4.2,5.2,5.2,4.2,3.1,6.3,4.2,4.2,3.1,2.1,6.2,5.2,3.1,4.2,4.1,7.2,7.2,3,11.3,8.2,5.1,6.2,6.2,5,4.2,4.1,3.8,7.4,6.1,5.5,4.8
50009500902,VT,Essex County,500902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50009500903,VT,Essex County,500903,217,2,199,0,0,0,0,0,16,180,0,175,0,0,0,0,0,5,30.1,52.1,54.1,44.1,36,70.2,54.1,43.1,36.1,20,48.2,29.1,38.1,26.1,40.1,55.1,73.2,29,92.3,46.2,62.1,50.1,60.1,52.4,43.6,40.6,25.1,71.9,45.1,55,39.1
50009500904,VT,Essex County,500904,1157,22,1091,0,1,1,2,4,36,953,11,908,0,1,1,0,4,28,227.9,274.7,273.1,238.7,136.6,386.2,276.3,220.4,182.3,118.4,305.9,225.1,209.2,214,211.2,253.5,335.9,96.4,401.9,269.6,233.4,238.5,275.6,280,228.5,227.1,185.9,311.7,214.5,272.9,211.8
50009500905,VT,Essex County,500905,88,1,80,0,0,1,0,0,6,78,1,71,0,0,1,0,0,5,20.7,27.6,26.6,24.7,9.9,46.4,28.6,23.7,18.8,7.9,36.5,24.7,17.8,22.7,20.7,26.6,34.5,5.9,58.2,33.6,25.7,22.7,25.7,30.6,21.5,23.4,18.4,36,22.2,30,20.9
50009500906,VT,Essex County,500906,896,8,845,3,0,4,0,0,36,740,7,696,1,0,4,0,0,32,174.2,201.1,207,167.2,123.4,269.7,192.1,169.2,113.5,81.6,211,184.1,120.4,160.2,136.4,230.9,232.9,80.6,362.3,245.8,165.2,190.1,202.1,201.8,174.2,145.3,142,240.6,186.9,195.9,170
50009500907,VT,Essex County,500907,1141,16,1069,9,11,2,2,1,31,931,9,878,8,10,2,0,1,23,181,292,221,298,130,408,252,269,192,83,293,192,202,181,209,262,343,100,479,280,287,232,294,316.8,196,224,152,350.8,218.5,297.2,192.2
50009500908,VT,Essex County,500908,270,2,251,0,0,1,0,0,16,214,1,198,0,0,1,0,0,14,51,70.1,75.1,60,34,106.1,65.1,64,51,26,76.1,57,48,57,47,69,65.1,33,96.1,73,54,62,56.1,75.1,56.3,55.6,46.7,67.8,59.3,66.1,54.8
50009500909,VT,Essex County,500909,16,0,16,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,2,3,3,2,1,4,3,2,1,0,1,1,1,1,1,5.9,7.9,2,9.9,6.9,5.9,5.9,6.9,2.7,2.2,1,0.7,7.7,5.2,3.8,2.9
50009500910,VT,Essex County,500910,81,0,77,0,0,0,0,0,4,74,0,70,0,0,0,0,0,4,12,21.9,26.9,13,10,32.9,20.9,18,14,6,27.9,18,18,15,19,19.9,22.9,13,26.9,19,12,15,20.9,21.4,17.5,19.7,13,20.7,16.7,20.6,16
50009500911,VT,Essex County,500911,262,5,238,0,1,1,0,0,17,224,4,206,0,1,1,0,0,12,30,57,48,54,38.2,69,48.8,51.8,34.5,21,56.2,36.8,38.2,33.8,39,59.2,67.5,25.5,97.5,56.2,68.2,51.8,65.2,57.9,41.2,42,30.5,74.6,48.2,58.2,40.8
50009500912,VT,Essex County,500912,87,0,84,0,0,0,0,0,3,71,0,68,0,0,0,0,0,3,18.4,28.5,24.5,26.4,12.3,43.7,20.5,29.4,15.3,7.2,32.5,22.5,13.3,20.4,16.3,25.6,23.6,9.2,39.9,22.6,20.4,19.5,13.5,32,18.9,19.4,16.7,24.3,19.2,25.2,18.4
50009500913,VT,Essex County,500913,2,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50009500914,VT,Essex County,500914,1246,5,1166,2,1,6,0,0,66,1003,4,941,0,1,6,0,0,51,171,311,232,277,121,403,213,296,188,85,286,175,195,162,208,243,366,110,451,253,300,208,304,321.8,184.2,219.2,140.7,355.2,203.5,298.8,179.4
50009500915,VT,Essex County,500915,211,1,201,0,0,0,1,0,8,184,1,175,0,0,0,0,0,8,39.2,60.2,56.2,52.2,33.1,77.4,42.2,66.2,48.2,24.1,77.3,46.2,49.1,42.2,52.2,67.2,74.3,12.1,121.5,66.3,63.2,61.2,63.2,64,42.7,56.7,37.5,80.6,51.7,67.1,44.6
50009500916,VT,Essex County,500916,153,1,147,0,0,0,0,0,5,141,0,136,0,0,0,0,0,5,29.8,45.6,34.7,41.6,18.9,63.4,39.6,37.6,38.6,11.9,55.5,34.7,33.7,24.8,40.6,43.7,61.5,17.9,82.3,43.7,57.4,39.7,52.5,47,30.7,42.1,23.8,63.4,36.3,50.9,30.9
50009500917,VT,Essex County,500917,70,3,63,0,0,0,0,0,4,63,1,59,0,0,0,0,0,3,18,38,21,36,16,48,32,31,29,5,42,18,26,13,28,17,36,5,47,24,29,14,32,38.2,21.8,31.2,12,36,15,35.2,16.6
50009500918,VT,Essex County,500918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50009500919,VT,Essex County,500919,2,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0.4,0.6,0.4,0.5,0.2,0.8,0.5,0.5,0.5,0.1,0.7,0.4,0.4,0.3,0.5,0.5,0.8,0.2,1,0.5,0.7,0.5,0.6,0.6,0.4,0.5,0.3,0.8,0.4,0.6,0.4
50011050113,VT,Franklin County,050113,1052,18,943,5,12,16,0,4,54,832,12,754,2,8,10,0,3,43,120.2,75.4,148,72.2,91.2,137.2,158.2,63.2,55.7,70.4,118,136.3,49.3,127.8,57.4,185.2,88.4,66.6,200.3,187.6,73.5,143.9,69,87,129.4,70.1,111.5,107.8,145.8,88.3,130.5
50011501101,VT,Franklin County,501101,1273,28,1198,1,2,1,0,3,40,1013,23,959,1,1,1,0,3,25,294.7,208.8,363.7,201.8,185.8,385.7,368.7,179.8,149.9,165.8,322.8,361.7,125.9,325.7,164.9,394.6,271.8,127.9,538.5,415.6,222.8,349.6,230.8,244,303.2,190.9,284.4,316,321.9,250.3,304.9
50011501102,VT,Franklin County,501102,1547,25,1449,5,13,11,0,3,41,1157,8,1113,0,8,2,0,3,23,210.4,309.6,320,273.3,149.1,446.3,347.1,239.2,211,97.8,384.8,274.7,204.9,238.4,237.1,285.8,404,107.7,551.9,346.2,309.4,275.6,309.5,317.1,256.6,259.5,203.6,393.7,253.8,323.4,241.2
50011501103,VT,Franklin County,501103,2810,73,2544,10,26,15,3,9,130,2157,48,1974,4,16,8,1,9,97,501.5,428.6,714.3,400.6,374.6,786.2,771.2,350.6,359.6,261.7,750.3,689.3,310.7,579.4,410.6,639.4,589.4,197.8,1003,768.2,421.6,574.4,464.5,491.5,590.4,457.8,510.2,619.6,545,523,552
50011501104,VT,Franklin County,501104,5014,112,4602,28,11,46,1,21,193,3761,69,3491,23,7,38,0,10,123,1070.7,952.3,1295.5,1028.5,781,1580.6,1474.4,795.7,778.4,653.1,1371,1293,719,1171.3,798.6,1659.2,1235.4,511.3,2380.7,1744.4,1033.6,1477.8,1040.8,1089.3,1155.4,916.7,1039.1,1422.6,1348.2,1142.9,1193.8
50011501105,VT,Franklin County,501105,2044,40,1884,3,14,3,1,0,99,1581,33,1458,0,12,0,1,0,77,495.1,345,593.1,326.6,281.1,659.7,649.4,254.4,303,248.5,602.2,610.2,234.4,549.3,290.2,633.8,483,191.4,905,735,345.2,602.6,354.4,396.4,504.7,357.4,469.4,521.9,540.7,425.3,508.1
50011501106,VT,Franklin County,501106,1346,13,1214,3,6,6,0,8,96,1044,9,952,3,4,4,0,7,65,328.3,234.7,404.5,242.5,255,418.4,443.6,205.3,191.7,216.9,349,385,175,353.7,200.4,482.8,284.6,181.7,599.4,490.6,249.4,423.2,255.2,275.2,357.8,229,318.5,347.1,394.6,283.8,360.5
50011501107,VT,Franklin County,501107,1363,17,1291,5,5,2,0,2,41,1069,14,1019,5,5,1,0,2,23,229,296,305,304,145,470,344,253,248,147,373,302,213,274,241,318,407,84,621,379,326,308,335,330.8,255.8,268.8,241,422.2,272.2,340.6,257.7
50011501108,VT,Franklin County,501108,4845,74,4457,17,13,32,5,6,241,3709,47,3447,13,11,26,4,6,155,1028.3,1031.5,1235.5,1094,645.9,1743.2,1495.9,824.4,852.8,499.7,1509.8,1233.6,762,1134.4,850,1530.5,1305.5,394.7,2405.6,1653.4,1057.4,1377.3,1071.4,1173.3,1101.4,993.6,955.9,1460,1239,1209,1111.8
50011501109,VT,Franklin County,501109,3472,53,3118,10,86,8,0,5,192,2730,31,2459,8,69,7,0,3,153,473,697.2,664.5,649.4,302.4,1044.5,797.2,511.7,532.6,200.6,860,595.8,477.7,492,574.5,696.5,974.5,213.5,1391.7,906.9,684.3,647.6,726.2,725.7,559.3,611.2,429.4,944.2,616.1,760.4,544.5
50011501110,VT,Franklin County,501110,1184,19,1103,8,8,6,0,1,39,947,12,887,4,7,6,0,0,31,301.9,230.9,384.9,210,266.9,338.9,398.9,192,168,278.9,289.9,389.9,167,361.9,179,448.9,277.9,243.9,456.9,417.9,227.9,382.9,222.9,242.9,338.2,201,343.6,296.4,373.4,246.8,352.5
50011501111,VT,Franklin County,501111,2346,37,2164,8,39,4,1,3,90,1822,27,1677,8,31,4,1,3,71,322.3,385.9,464.5,320.3,250.7,552,488.4,294.4,236.7,178.1,415.8,377,206.9,328.2,248.7,431.7,475.5,171.1,670.4,509.3,353.1,376,367,388.2,381.5,277,294.4,466.5,372,377.2,354.3
50011501112,VT,Franklin County,501112,2136,46,1934,7,22,4,1,10,112,1607,35,1472,6,13,3,1,7,70,306.4,379.2,424,361.1,187.9,620.3,512.4,265.7,263.8,121.6,514.7,411.8,221.6,342.5,284.9,437.1,535.1,113.7,823.4,534.8,393.2,406,411.3,406.6,357.7,321.2,292,540.7,372.9,422.8,345.3
50011501114,VT,Franklin County,501114,1270,29,1114,28,22,7,0,3,67,988,17,882,23,19,6,0,1,40,506.4,317.6,623.3,304.2,384,578,666.2,266.4,234.5,296.7,497,574.1,207.8,538.3,241.6,779.9,372.2,280.6,843.6,790.1,309.7,606.4,290.8,366.5,545,295.2,469.7,454.1,614.2,371.9,549.6
50011501115,VT,Franklin County,501115,1144,34,966,21,14,37,0,4,68,891,23,747,18,13,33,0,4,53,142,89,174.8,85.3,107.7,162.1,186.8,74.7,65.8,83.2,139.4,161,58.3,151,67.8,218.7,104.4,78.7,236.6,221.6,86.8,170.1,81.6,102.8,152.8,82.8,131.7,127.3,172.3,104.3,154.1
50011501116,VT,Franklin County,501116,925,40,786,16,6,11,1,7,58,704,28,615,11,3,10,1,4,32,65.3,40.9,80.3,39.2,49.5,74.5,85.8,34.3,30.2,38.2,64,74,26.8,69.4,31.1,100.5,48,36.2,108.7,101.8,39.9,78.2,37.5,47.2,70.2,38,60.5,58.5,79.2,47.9,70.8
50011501117,VT,Franklin County,501117,1377,26,1201,30,5,17,0,6,92,1100,20,981,24,4,14,0,4,53,193.5,121.3,238.2,116.2,146.8,220.9,254.6,101.8,89.6,113.4,189.9,219.4,79.4,205.7,92.3,298,142.2,107.2,322.4,301.9,118.3,231.7,111.1,140.1,208.2,112.8,179.5,173.5,234.7,142.1,210
50011501118,VT,Franklin County,501118,1109,33,952,15,5,15,0,3,86,844,17,748,8,5,11,0,3,52,256.5,160.8,315.7,154.1,194.5,292.8,337.4,134.9,118.8,150.3,251.7,290.8,105.2,272.6,122.4,395,188.5,142.1,427.3,400.2,156.8,307.1,147.3,185.6,276,149.5,237.9,230,311.1,188.4,278.4
50011501119,VT,Franklin County,501119,6988,129,6359,70,41,56,3,10,320,5659,99,5196,57,36,45,3,10,213,1410.3,1261.7,1769.9,1223.2,899.8,2144,1968.8,977.4,1032,698.3,1988.9,1788.6,906.5,1583.5,1085.7,2117.9,1549.2,577.2,3014.5,2265.1,1239.9,1762,1248.8,1401.6,1512.2,1253.3,1356.8,1763.1,1680.5,1472.7,1531
50011501120,VT,Franklin County,501120,6701,69,5960,31,133,15,0,12,481,5272,52,4739,27,102,15,0,6,331,1093.9,1184.1,1426.7,1118.5,725.2,1854.7,1644.2,906.9,859.3,470,1598.5,1299.6,753,1145.6,886.1,1555.8,1535.8,423.2,2591.8,1763.4,1204,1351.2,1243.7,1266.1,1222.5,1024.2,971.7,1643.8,1273.4,1311.4,1172.6
50013501203,VT,Grand Isle County,501203,488,6,458,4,3,0,0,1,16,420,4,393,4,3,0,0,0,16,136,140,148,133,92,204,189,98,101,84,188,181,85,160,102,191,147,76,258,208,126,179,120,143.8,141.2,119,141.7,162.8,163.5,141.8,149.5
50013501301,VT,Grand Isle County,501301,2106,38,1909,11,26,14,0,3,105,1693,18,1555,11,21,14,0,0,74,372,399,485,353,278,583,544,294,283,164,511,427,257,382,296,550,499,195,817,589,396,477,405,407.2,419.8,336.8,324.3,529.2,452.8,424.4,405.7
50013501302,VT,Grand Isle County,501302,2086,33,1920,12,5,4,0,6,106,1718,23,1606,8,5,3,0,3,70,594,431,676,457,387,773,805,334,356,312,716,743,291,671,354,831,538,254,1109,915,412,849,427,498.8,615.5,429.2,575.3,621.5,712.2,516.5,639.7
50013501304,VT,Grand Isle County,501304,939,17,855,9,5,0,0,2,51,793,11,723,7,5,0,0,0,47,320,216,338,256,201,414,417,180,193,182,364,386,162,351,193,430,250,135,556,453,211,409,217,266.5,319,228,306.3,308.5,356.8,267.7,329.3
50013501305,VT,Grand Isle County,501305,1674,33,1555,13,0,12,0,4,57,1399,20,1317,2,0,10,0,3,47,672,301,716,357,464,641,810,265,296,396,650,808,217,758,266,903,376,264,1015,922,297,863,327,391,665.5,357.2,654,503.8,738,417.3,688.7
50015501501,VT,Lamoille County,501501,358,5,311,0,2,3,0,2,35,282,1,258,0,1,3,0,2,17,53.2,85.1,73.2,80.1,40.1,115.2,80.2,69.1,56.1,38.1,87.2,62.2,60.1,58.2,66.1,79.2,93.1,28.1,139.3,86.2,77.1,73.2,76.1,87.4,61.7,67.3,52.8,96.4,66.7,83.7,61.1
50015501502,VT,Lamoille County,501502,3839,92,3537,20,9,7,0,18,156,3002,61,2809,14,3,5,0,13,97,1068.1,520.6,1206.3,580.7,808.9,1069.2,1320.4,472.6,444.6,739.8,966.1,1270.3,401.5,1181.2,493.6,1522.6,587.9,540.7,1583.7,1477.6,509.7,1330.4,517.8,660.8,1100.9,576.4,1063.8,799.8,1217.8,679,1133.3
50015501503,VT,Lamoille County,501503,1338,10,1261,1,10,4,0,3,49,1045,6,989,0,10,4,0,3,33,221,241,272,247,141,402,322,202,144,113,279,245,137,218,142,303,313,132,452,328,243,261,261,273,239,175.5,192,317.2,256,255.2,232.4
50015501504,VT,Lamoille County,501504,886,14,823,3,0,8,1,8,29,734,12,687,3,0,8,1,4,19,339,132,358,168,254,281,350,156,109,230,264,367,111,360,124,447,149,144,446,410,147,406,145,184.2,325.2,152,319,221.8,351.8,186,333.2
50015501505,VT,Lamoille County,501505,3020,57,2795,6,11,11,0,14,126,2408,35,2241,6,11,11,0,5,99,810.9,485.9,935,567.6,549.4,993.7,1021.4,454.3,375,507.3,829.9,932.8,361.2,874.7,430.2,1151.3,558.5,392.1,1315.2,1127.6,486.2,1053.6,507.5,625.4,829.2,499.1,771.6,716.9,931.2,613.8,850.6
50015501506,VT,Lamoille County,501506,3491,75,3124,50,22,17,0,14,189,2867,52,2584,50,17,17,0,13,134,687.4,392.9,770,417.8,532.2,720.2,829.7,340.2,338.2,493.4,643.6,778.9,306.4,712.3,379,988.8,525.2,448.6,1060.4,970.9,419.8,850.5,469.5,467.8,704.8,416.8,661.5,618.8,814.7,501.1,733
50015501507,VT,Lamoille County,501507,5434,201,4828,57,18,43,0,24,263,4424,145,3972,43,18,31,0,16,199,1529.6,731.5,1679.7,858.9,1080.5,1545.9,1774.6,699.9,597.2,938.5,1408.5,1729,550.9,1588.9,676.2,2226.2,822.4,779.5,2235.6,2108.9,745.3,1991.4,760.2,959.1,1516.1,808.2,1418.8,1140.9,1776.5,969.4,1584.3
50015501508,VT,Lamoille County,501508,5223,177,4694,67,9,42,0,27,207,4109,119,3756,52,6,36,0,16,124,1974,559,1950,791,1421,1372,1861,723,574,1097,1476,1885,551,1779,681,2706,599,875,2454,2294,711,2205,729,861.2,1801.5,820.5,1587,1123.2,2020,935,1822.5
50015501509,VT,Lamoille County,501509,686,4,642,1,5,0,0,9,25,562,1,531,0,5,0,0,9,16,161.5,146.4,185.6,168.3,120.3,246.7,223.6,123.3,124.3,113.3,243.6,227.6,104.2,176.6,154.3,227.7,209.5,75.2,347.9,248.7,164.4,205.6,190.4,171.2,172.8,156.6,172.5,228,189.3,185.3,178.7
50015501510,VT,Lamoille County,501510,1670,16,1570,12,2,6,0,2,62,1311,12,1242,10,2,6,0,1,38,397.4,276.3,473.5,284.3,295.3,477.6,499.5,240.3,169.2,278.3,374.4,468.4,181.2,431.5,212.2,589.6,306.4,224.2,662.7,578.6,261.3,527.5,278.3,319.6,416.4,234.3,392.7,377.2,480,310.4,433.1
50017501701,VT,Orange County,501701,2790,45,2535,15,8,17,1,20,149,2198,32,2014,14,7,15,1,18,97,624,409,692,433,514,660,730,376,294,384,618,669,311,625,346,893,549,371,1045,859,480,776,499,469.5,640,392.2,559.3,643.2,724.8,501.7,648.8
