GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREIFUE,G16PREOWRI,G16USSRMUR,G16USSDMET,G16USSLMIL,G16USSICRA,G16USSIGIA,G16USSISTO,G16USSOWRI,G16HALRYOU,G16HALDLIN,G16HALLMCD,G16HALISOU,G16HALOWRI
0201337-700,02,013,37-700,25,64,5,3,1,1,4,55,29,10,3,1,5,0,50,45,4,3,0
0201337-712,02,013,37-712,28,1,1,1,2,0,1,12,4,10,3,1,3,0,19,4,8,1,0
0201337-720,02,013,37-720,125,43,5,5,4,1,0,143,7,22,1,1,1,0,136,23,10,7,0
0201337-744,02,013,37-744,125,60,15,1,5,3,4,155,19,22,0,1,8,0,147,37,15,1,0
0201637-704,02,016,37-704,13,21,0,0,0,0,4,26,9,4,0,0,0,0,21,14,3,1,0
0201637-706,02,016,37-706,354,533,40,16,16,2,36,501,200,170,11,3,77,4,412,415,77,35,4
0201637-750,02,016,37-750,8,17,0,0,0,0,0,15,3,4,0,0,1,0,15,8,0,0,0
0201637-752,02,016,37-752,20,120,2,1,1,1,13,114,9,20,4,0,9,0,99,46,9,4,0
0202012-225,02,020,12-225,756.72,350.02,87.73,19.82,12.89,4.05,25.07,538.99,130.39,424.73,7.04,10,126.03,6.99,686.9,387.66,137.41,20.17,1.04
0202012-230,02,020,12-230,1258.14,415.11,122.26,7.89,15.78,8.87,67.05,863.74,110.43,701.05,15.78,15.78,153.82,3.94,1145.74,443.7,194.24,49.3,5.92
0202012-233,02,020,12-233,610,205,49,14,11,0,20,356,65,382,6,6,84,0,540,226,109,16,8
0202013-235,02,020,13-235,609.51,192.74,48.92,12.72,7.83,1.96,31.31,353.18,65.55,320.9,14.68,11.74,71.42,3.91,484.28,226.98,110.55,28.37,0
0202013-240,02,020,13-240,939,363,94,28,3,5,51,651,103,502,3,15,122,0,860,327,165,46,6
0202013-245,02,020,13-245,584.94,265.78,112.93,6.53,9.16,1.14,28.17,474.18,166.17,248.01,8.31,12.5,55.14,4.07,538.71,243.75,110.99,32.7,7.19
0202013-250,02,020,13-250,1059,439,148,23,18,0,38,731,167,585,9,9,126,2,885,439,239,42,1
0202013-255,02,020,13-255,772,311,76,11,8,7,44,536,91,395,9,3,131,2,711,293,125,30,6
0202013-260,02,020,13-260,79.67,128.24,3.89,0,3.89,0.97,2.91,119.5,42.75,31.09,6.8,0,23.32,0.97,95.21,102.98,9.72,4.86,0
0202014-940,02,020,14-940,831,405,82,14,21,10,45,664,121,431,20,14,145,0,780,398,162,43,2
0202014-945,02,020,14-945,613,287,75,19,15,7,40,468,106,341,3,8,106,1,549,312,123,22,7
0202014-950,02,020,14-950,944,399,107,20,1,4,48,744,116,446,7,8,168,7,884,454,118,30,4
0202014-955,02,020,14-955,359.28,188.91,50.32,4.41,9.71,0,16.77,281.6,60.91,210.09,0,1.77,58.26,2.65,348.69,185.38,60.91,15.89,1.77
0202014-960,02,020,14-960,1008,538,178,12,8,7,64,907,176,520,15,8,158,3,933,582,185,49,10
0202014-965,02,020,14-965,1411.85,795.71,200.07,23.71,11.36,6.21,121.71,1227.56,208.5,761.28,10.5,13,294.5,1.07,1433.49,716.21,281.86,58.64,1.43
0202014-970,02,020,14-970,765.29,413.97,105.05,9.26,5.77,2.63,47.4,643.2,125.16,420.77,6.29,12.4,111.56,1.27,747.67,382.4,140.33,34.4,5.46
0202015-300,02,020,15-300,603.81,255.67,100.15,18.22,6.67,0.37,29.14,482.53,150.93,254.73,13.42,9.63,46.48,2.78,527.87,261.49,109.07,36.46,8.4
0202015-305,02,020,15-305,702,498,83,15,9,8,24,566,201,357,8,12,132,1,666,440,115,45,0
0202015-310,02,020,15-310,430,423,36,25,9,13,29,364,178,259,17,1,97,1,447,366,79,28,0
0202015-315,02,020,15-315,399.3,354.24,55.32,12.03,19.01,3.01,19.15,346.94,153.37,237.26,2.02,6.04,73.33,1,388.25,295.14,87.42,29.1,4.02
0202015-320,02,020,15-320,394.99,315.61,61.32,15.33,5.41,2.71,32.46,324.65,140.68,223.64,9.92,7.21,77.55,5.41,390.47,251.59,95.59,45.09,2.71
0202016-325,02,020,16-325,256,384,55,22,11,1,23,255,138,189,15,7,123,0,265,355,81,25,0
0202016-330,02,020,16-330,469,565,81,26,13,4,47,481,220,288,11,7,165,8,473,534,112,38,8
0202016-335,02,020,16-335,388.06,345.02,54.01,30,7,2,39,339.05,143.01,251.03,6,11,95,0,372.05,352.02,78.01,36,1
0202016-340,02,020,16-340,431,480,62,17,8,1,26,416,159,228,9,3,188,0,429,465,69,30,0
0202016-345,02,020,16-345,440,355,42,8,10,2,13,385,114,241,3,5,102,0,423,342,72,14,1
0202016-350,02,020,16-350,784,710,105,24,8,11,46,731,239,441,9,7,218,5,781,656,147,41,6
0202016-355,02,020,16-355,435,463,65,30,10,6,30,408,197,277,13,7,107,4,432,422,106,45,4
0202017-400,02,020,17-400,377,572,73,10,5,1,24,460,134,184,0,0,241,1,408,525,67,17,3
0202017-405,02,020,17-405,199,315,32,13,7,2,18,215,116,111,1,4,109,1,205,292,45,15,0
0202017-410,02,020,17-410,293,421,67,20,14,11,28,373,149,156,8,7,128,0,297,417,66,35,1
0202017-415,02,020,17-415,364,341,40,16,11,8,22,341,92,214,6,7,115,0,353,306,81,23,5
0202017-420,02,020,17-420,829,801,104,40,13,3,61,791,295,402,18,10,303,4,793,780,148,64,8
0202017-425,02,020,17-425,330,508,67,26,16,5,40,386,194,184,9,7,177,3,342,477,94,41,4
0202017-430,02,020,17-430,225.94,339.91,35.99,20.99,3,5,18,268.93,119.97,133.96,6,7,90.98,1,243.93,304.92,53.99,16,1
0202018-435,02,020,18-435,231,416,22,4,2,0,18,318,63,91,1,3,196,1,256,384,24,13,1
0202018-440,02,020,18-440,228,264,36,14,2,0,13,203,91,128,4,7,109,1,196,261,62,21,0
0202018-445,02,020,18-445,320,402,67,20,7,7,23,318,142,188,9,2,166,6,301,389,91,34,1
0202018-450,02,020,18-450,345,334,48,17,7,4,17,295,136,201,8,6,115,0,325,296,78,42,0
0202018-455,02,020,18-455,299,455,42,16,2,3,24,296,195,196,11,2,126,1,299,395,70,38,3
0202018-460,02,020,18-460,340,644,65,13,6,2,42,417,172,190,0,2,284,7,362,591,76,37,6
0202018-465,02,020,18-465,177,274,21,13,2,2,6,179,117,116,5,6,69,0,175,250,33,21,5
0202018-470,02,020,18-470,138,160,29,14,2,7,2,113,58,88,4,1,77,1,116,187,30,8,0
0202018-475,02,020,18-475,220,246,31,8,5,0,12,244,74,108,1,5,74,0,217,225,43,16,4
0202018-480,02,020,18-480,386,725,63,17,3,0,29,462,165,164,15,1,386,4,404,706,63,23,2
0202019-500,02,020,19-500,217,399,24,11,17,5,17,211,178,181,12,11,68,8,232,328,72,23,4
0202019-505,02,020,19-505,225,395,22,13,11,2,13,260,166,154,5,9,59,1,268,310,46,27,3
0202019-510,02,020,19-510,367,459,27,12,10,7,19,321,211,242,22,3,82,0,381,390,67,28,3
0202019-515,02,020,19-515,158.06,176.09,17.01,10.01,20,5,7,149.07,68.03,91.04,5,5,59.02,0,174.07,156.08,41.01,7,0
0202019-520,02,020,19-520,307,455,38,27,10,3,15,325,135,163,8,5,197,3,308,439,53,31,2
0202019-525,02,020,19-525,362,791,62,32,5,6,20,458,243,197,13,6,330,6,371,744,75,50,6
0202020-530,02,020,20-530,292.85,441.96,47.53,21.21,4.83,2.88,29.9,332.62,133.22,171.15,13.51,0.04,154.83,6.73,268.47,417.05,88.85,33.77,4.84
0202020-535,02,020,20-535,440,828,82,31,9,7,45,522,310,262,10,14,264,4,476,729,111,50,4
0202020-540,02,020,20-540,166.03,227.3,33.6,3.95,0,4.94,7.91,196.66,63.25,70.17,0.99,5.93,107.72,2.96,148.24,252.99,19.77,15.81,2.96
0202020-545,02,020,20-545,201,449,37,13,0,0,6,291,119,67,1,0,207,3,201,432,28,19,3
0202020-550,02,020,20-550,114,176,17,6,7,0,5,131,68,58,7,3,56,0,110,174,32,8,0
0202020-555,02,020,20-555,276,568,72,16,5,2,42,403,204,135,13,1,199,4,320,523,75,39,0
0202020-560,02,020,20-560,238,572,43,10,5,2,21,331,115,86,0,0,337,3,255,546,30,24,1
0202020-565,02,020,20-565,164,419,23,12,3,1,13,245,78,77,1,2,204,3,177,387,27,17,1
0202020-570,02,020,20-570,284,459,38,20,16,2,30,307,209,191,10,6,112,0,308,407,72,39,1
0202021-600,02,020,21-600,403,862,69,14,2,0,26,623,144,145,1,0,456,0,473,796,48,36,2
0202021-605,02,020,21-605,601.61,508.22,54.07,16.71,3.93,3.93,33.42,527.88,174.98,310.63,11.8,1.97,170.06,5.9,539.68,492.49,118.94,44.24,7.86
0202021-610,02,020,21-610,483,451,79,19,4,1,32,495,162,220,14,4,152,0,472,427,95,44,2
0202021-615,02,020,21-615,384,379,66,16,11,6,24,375,128,215,7,10,142,4,375,371,89,31,3
0202021-620,02,020,21-620,408,399,38,15,3,8,23,402,118,208,1,7,140,2,413,349,71,29,3
0202021-625,02,020,21-625,483,624,83,19,9,3,36,592,185,216,6,7,229,2,483,628,78,44,1
0202021-630,02,020,21-630,277,353,48,17,3,1,12,244,126,177,5,0,139,6,255,335,76,20,5
0202021-635,02,020,21-635,429,650,88,17,7,6,25,514,179,246,11,4,247,0,465,604,79,47,3
0202022-640,02,020,22-640,734,473,73,35,6,7,45,622,155,391,14,8,169,5,665,462,164,43,8
0202022-645,02,020,22-645,1066,752,102,9,6,10,57,1098,155,429,12,3,286,0,1075,712,134,42,0
0202022-650,02,020,22-650,412,357,54,13,9,6,36,423,111,220,9,3,100,0,410,331,94,28,1
0202022-655,02,020,22-655,462,376,52,16,11,10,25,408,147,273,11,0,102,0,424,373,100,27,4
0202022-660,02,020,22-660,733,674,66,28,8,4,38,772,147,356,10,7,223,0,771,587,109,34,2
0202022-665,02,020,22-665,513,417,60,18,4,1,35,484,151,248,7,10,152,2,497,414,95,25,1
0202022-670,02,020,22-670,284,230,39,2,3,2,9,276,57,140,6,0,86,1,298,185,58,14,1
0202023-735,02,020,23-735,267,259,30,10,3,3,13,258,86,144,5,1,81,3,272,213,63,19,3
0202023-740,02,020,23-740,466,426,67,15,17,1,37,412,153,242,11,5,184,1,444,439,69,31,6
0202023-745,02,020,23-745,231,224,38,7,7,5,14,211,76,151,4,1,71,1,243,209,54,9,1
0202023-750,02,020,23-750,495,385,80,22,15,10,28,402,150,292,8,13,146,3,479,367,119,35,1
0202023-755,02,020,23-755,489,420,59,21,2,7,11,463,106,246,18,10,131,1,464,379,82,36,8
0202023-760,02,020,23-760,307,289,32,11,2,1,8,280,74,160,11,4,106,0,270,261,71,24,1
0202023-765,02,020,23-765,579,513,67,11,2,1,38,524,173,276,4,8,192,6,531,489,118,26,4
0202023-770,02,020,23-770,412,386,51,11,21,3,3,391,121,242,18,2,89,3,395,317,102,46,2
0202024-700,02,020,24-700,644,406,61,28,6,1,25,513,141,362,11,6,126,0,642,388,86,30,2
0202024-705,02,020,24-705,486,376,70,16,6,3,23,462,122,260,8,3,117,4,449,389,100,21,10
0202024-710,02,020,24-710,730,565,92,15,9,5,37,749,139,362,8,3,173,0,792,512,92,27,0
0202024-715,02,020,24-715,559,528,56,7,4,2,36,621,119,265,6,1,163,8,606,452,81,24,6
0202024-720,02,020,24-720,601,410,77,23,14,5,23,530,117,331,8,14,141,4,593,393,124,24,2
0202024-725,02,020,24-725,769,580,104,11,9,2,32,802,126,297,14,7,242,2,748,583,103,37,6
0202024-730,02,020,24-730,920,721,114,18,10,2,57,958,187,432,10,3,239,1,970,633,148,48,5
0202025-840,02,020,25-840,168,159,22,5,1,0,12,155,55,107,6,0,34,0,169,119,49,8,0
0202025-845,02,020,25-845,805,731,98,29,10,4,52,783,234,393,9,11,269,7,785,693,152,49,7
0202025-850,02,020,25-850,584,631,83,15,2,7,26,634,127,284,8,5,271,0,604,597,85,24,4
0202025-855,02,020,25-855,684,486,84,18,14,1,30,522,158,434,7,7,144,6,662,453,130,28,11
0202025-860,02,020,25-860,536,450,85,15,13,6,24,506,154,269,12,2,159,4,525,427,85,44,2
0202025-865,02,020,25-865,453,365,58,11,7,2,25,414,110,257,2,7,108,0,450,361,68,21,1
0202025-870,02,020,25-870,586,564,91,28,20,11,24,544,182,342,17,6,204,1,562,540,135,44,6
0202026-800,02,020,26-800,596,517,77,25,14,2,35,558,141,358,13,11,155,1,591,469,130,39,1
0202026-805,02,020,26-805,637,466,64,21,9,0,26,622,110,275,7,4,194,4,680,428,63,30,4
0202026-810,02,020,26-810,586,312,54,12,6,2,18,486,95,293,2,0,98,0,616,266,61,15,1
0202026-815,02,020,26-815,839,548,92,11,2,1,50,793,127,384,11,0,199,6,859,523,97,29,6
0202026-820,02,020,26-820,767,666,87,7,5,6,51,806,148,324,10,9,273,3,816,603,96,33,2
0202026-825,02,020,26-825,549,408,64,14,11,11,34,451,177,330,8,0,101,5,520,399,101,34,6
0202026-830,02,020,26-830,330,249,35,6,10,1,14,309,74,158,0,2,99,1,351,235,40,10,2
0202026-835,02,020,26-835,244,217,63,12,8,3,20,237,87,153,5,10,63,2,249,220,62,20,1
0202027-900,02,020,27-900,740,659,93,18,9,1,35,593,244,421,15,9,260,2,755,645,101,30,2
0202027-905,02,020,27-905,401,296,42,14,5,8,20,332,108,215,3,10,110,2,395,280,73,24,1
0202027-910,02,020,27-910,688.27,563.31,74.37,28.21,9.1,4.06,32.09,560.55,250.79,403.47,10.15,12.29,136.49,6.02,633.87,546.57,133.19,49.78,9.13
0202027-915,02,020,27-915,385.11,306.06,59.02,7,1,1,25.01,339.09,144.02,213.06,7,2,67.02,3,359.11,301.06,78.02,22.01,4
0202027-920,02,020,27-920,512.74,575.4,61.1,24.01,11,8,36.05,549.63,193.12,261.41,2.01,5.01,195.11,0,550.73,532.37,85.14,39.03,1.01
0202027-925,02,020,27-925,523,384,52,14,11,10,34,478,116,269,2,3,140,1,506,373,98,34,0
0202027-930,02,020,27-930,740,795,93,28,16,6,44,732,216,414,11,11,295,1,730,735,163,37,8
0202027-935,02,020,27-935,113,169,17,6,4,0,12,128,43,59,0,1,85,0,130,168,12,1,0
0202028-105,02,020,28-105,649,507,85,9,8,6,45,698,96,269,4,6,226,5,664,502,100,25,2
0202028-110,02,020,28-110,982.73,743.18,123.79,18.4,15.25,4,48.05,911.58,153.28,512.52,7.15,1,342.82,4.05,998.43,747.83,146.54,29.7,2.35
0202028-115,02,020,28-115,680,362,80,8,10,1,52,682,73,276,9,11,140,0,738,360,64,18,5
0202028-120,02,020,28-120,729,492,68,20,4,6,19,671,108,317,4,3,217,3,712,500,83,20,0
0202028-125,02,020,28-125,376.27,403.82,53.21,7.6,4.75,0,19.95,373.42,100.72,181.48,2.85,0,187.18,0.95,389.57,378.17,48.46,13.3,6.65
0202028-130,02,020,28-130,108,106,13,4,1,3,5,73,45,74,2,0,49,0,101,108,20,3,0
0202028-135,02,020,28-135,299,880,91,47,8,5,50,572,235,190,8,6,356,0,332,819,148,36,0
0202028-140,02,020,28-140,1020,742,111,18,6,2,55,1047,136,412,6,6,329,0,1075,700,98,41,3
0202028-145,02,020,28-145,581,524,71,11,4,2,32,563,99,303,4,0,253,1,586,512,90,20,3
0205037-746,02,050,37-746,5.1,34.34,1.02,0.99,1.05,0,0.01,22.25,3.09,15.11,0.03,0,3.02,0,23.25,11.26,4.96,1.02,0
0205038-800,02,050,38-800,39.97,68.25,9.46,3.04,16.43,4.03,8.47,53.15,18.2,57.46,1.27,0.07,13.69,0,77.11,56.28,5.02,1.47,2.12
0205038-802,02,050,38-802,18.67,53.11,7.45,0.93,21.42,0.93,7.45,36.37,18.63,40.98,3.72,0.93,11.19,0,39.17,65.2,0.94,6.52,1.86
0205038-804,02,050,38-804,57.86,98.71,1.99,1,4.99,0,5.98,93.75,18.95,30.92,1,4.98,17.96,0,90.76,64.81,8.98,3.99,0
0205038-806,02,050,38-806,9.97,50.33,4.08,6.3,7.35,0,6.4,42.46,13.79,18.23,1.1,0.19,9.54,0,31.66,46.3,2.78,1.48,0
0205038-808,02,050,38-808,234,396,42,16,26,1,43,385,74,153,7,5,108,0,329,328,59,12,2
0205038-810,02,050,38-810,220.78,416.62,40.65,17.55,12.01,2.77,22.17,378.74,94.22,129.33,3.7,0.92,105.31,1.85,326.09,327.93,39.72,10.16,1.85
0205038-812,02,050,38-812,14,82,9,55,11,6,20,106,18,47,1,2,19,0,80,90,17,9,0
0205038-814,02,050,38-814,8,11,3,0,3,0,3,19,2,8,0,0,0,0,20,9,0,0,0
0205038-816,02,050,38-816,1.95,23.37,0.97,0,1.95,0,0,13.63,3.89,8.76,0.97,0,0.97,0,13.63,11.68,0,0.97,0
0205038-818,02,050,38-818,52.96,108.6,6.64,2.05,8.71,0.5,11.93,95.68,22.64,51.69,1.5,0.11,13.61,0.16,95.61,81.08,8.78,1.14,0.17
0205038-820,02,050,38-820,17.4,56.63,11.09,1.06,5.03,1.01,8.03,65.86,6.03,15.3,1.01,2,8.02,0,50.92,41.2,1.08,7.02,0
0205038-822,02,050,38-822,14.55,69.42,2.23,1.06,6.3,0,6.06,56.46,14.38,21.62,3.02,0.04,4.11,0,53.36,34.98,8.17,3.11,0
0205038-824,02,050,38-824,33,89,7,10,14,2,17,70,30,51,1,0,18,2,71,81,10,7,1
0205038-826,02,050,38-826,42,44,2,0,10,1,10,49,13,38,0,0,5,0,51,44,4,4,0
0205038-828,02,050,38-828,19.1,112.84,15.84,5.93,12.95,5.95,9.92,89.08,30.68,35.01,1.98,1.97,25.72,0,68.67,102.86,3,5.91,1
0205038-830,02,050,38-830,32,49,2,1,6,0,11,55,19,21,0,0,4,1,51,44,3,1,0
0205038-832,02,050,38-832,6.14,50.83,9.91,8.92,12.89,0.99,4.97,60.72,7,20.9,0.99,1.01,1.05,0.99,52.79,33.89,5.97,1.99,0
0205038-836,02,050,38-836,18,52,12,6,6,0,4,68,10,14,0,1,6,1,62,28,3,4,0
0205038-838,02,050,38-838,38.51,74.06,1.98,0.99,0.99,0,8.89,69.12,5.92,36.54,0,0,4.94,0,43.45,72.09,0.99,0,0
0205038-840,02,050,38-840,14.84,55.85,5.24,2.62,8.73,0.87,12.22,51.49,27.05,16.58,0.87,0,1.75,0,36.65,53.23,7.85,0.87,0
0205038-842,02,050,38-842,8,92,6,20,7,1,6,86,15,29,2,0,6,1,64,63,10,5,0
0205038-844,02,050,38-844,7,56,8,12,6,0,4,46,18,19,3,0,5,0,48,34,6,4,1
0205038-846,02,050,38-846,22.97,59.18,9.72,2.65,12.37,0,2.65,60.95,15.9,25.62,0.88,1.77,4.42,0,56.53,40.63,7.07,4.42,0
0205038-848,02,050,38-848,47.19,90.45,9.83,3.93,11.8,1.97,6.88,89.47,21.63,41.29,0.98,0,11.8,0,72.75,77.67,12.78,2.95,0
0205038-852,02,050,38-852,34,146,4,62,6,1,16,125,41,56,9,3,38,0,88,155,15,8,3
0205038-854,02,050,38-854,14.86,59.42,1.98,1.98,16.84,0.99,6.93,56.45,11.88,27.73,0.99,0,5.94,0,66.35,24.76,5.94,4.95,0
0205038-856,02,050,38-856,18,74,10,1,12,0,11,74,12,27,0,0,10,0,56,56,8,1,0
0205038-858,02,050,38-858,11,91,2,16,10,2,9,75,30,26,3,2,6,0,54,75,3,8,0
0205038-860,02,050,38-860,29.2,30.07,4.12,1.11,4.29,0.02,3.12,48.14,1.18,17.47,0.02,0.01,2.07,0.01,52.16,14.57,2.12,2.07,0
0206037-722,02,060,37-722,138,36,10,1,0,4,0,117,18,35,0,1,7,0,103,41,30,3,0
0206037-734,02,060,37-734,113.48,82.61,15.43,3.63,4.54,0.91,2.72,141.62,17.25,44.48,0.91,0.91,17.25,0,137.08,59.91,22.7,3.63,0
0206037-748,02,060,37-748,8.38,9.9,3.05,0,0,0.76,0,16,0.76,3.05,0,0,0.76,0,13.71,2.29,3.81,0.76,0
0206309-650,02,063,09-650,442,237,75,3,15,2,26,367,70,243,4,0,94,0,400,211,131,19,0
