GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREIWES,G20PREOOTH,G20PREOSAN,G20PREOWRI,G20HALDWEL,G20HALDRBE,G20HALCHEL,G20HALIBEC,G20HALIHOR,G20HALIORR,G20HALITRU,G20HALOWRI,G20GOVDZUC,G20GOVRSCO,G20GOVIHOY,G20GOVTPEY,G20GOVIWHI,G20GOVIBIL,G20GOVIDEV,G20GOVUDIC,G20GOVOWRI,G20LTGDGRA,G20LTGRMIL,G20LTGPERI,G20LTGIBIL,G20LTGBCOR,G20LTGOWRI,G20ATGDDON,G20ATGRPAI,G20ATGPERI,G20ATGOWRI,G20SOSDCON,G20SOSRPAI,G20SOSPERI,G20SOSISMI,G20SOSOWRI,G20TREDPEA,G20TRERBRA,G20TREPERI,G20TREIWRI,G20TREOWRI,G20AUDOHOF,G20AUDPERI,G20AUDOWRI
50001500101,50,001,500101,437.09,372.2,14.73,1.96,5.89,18.66,0.98,2.95,453.78,329.97,6.88,20.62,6.87,1.96,8.84,2.95,142.43,667.84,6.87,7.86,6.87,1.96,0.98,6.87,4.91,315.31,504.78,4.91,5.89,1.96,0.98,491.1,311.31,24.55,0,416.46,350.59,15.72,42.23,0,365.39,396.75,19.64,32.41,0,654.11,100.18,8.84
50001500102,50,001,500102,382.65,313.35,7.81,1.95,0.98,6.83,2.93,3.9,407.06,244.04,2.93,33.19,2.93,1.95,1.95,0.98,131.78,563.24,4.88,4.88,2.93,0,3.9,0,9.76,281.13,406.08,6.83,5.86,0,2.93,400.23,261.61,20.5,0,350.44,287.97,11.71,38.07,0,303.59,310.42,30.26,31.24,0,536.89,78.09,3.9
50001500103,50,001,500103,1485.05,692.65,22.05,8,3.02,21.07,6,12.04,1490.04,588.49,14.05,38.1,27.03,7.02,21.05,0,625.97,1545.75,10.05,25.03,11,9.01,2.01,5,7.02,1148.27,962.36,44.07,30.06,10.03,7.01,1493.1,557.39,110.16,6,1309.74,605.54,79.1,163.3,0.01,1233.65,678.68,102.15,124.2,1.01,1665.86,337.5,9.04
50001500104,50,001,500104,667.19,147.75,12.09,4,3.01,13.14,2.02,8.01,651.65,157.1,8.02,15.17,5.06,4.02,3,0.02,269.68,571.35,2.02,6.04,2.02,1.02,0.02,0.02,2.04,545.24,264.67,20.09,5.1,2.01,2.01,650.54,147.12,24.18,0.01,622.95,160.36,16.16,29.43,0,588.65,178.61,20.14,22.38,0,676.3,79,2.02
50001500105,50,001,500105,1212.83,566.92,22.16,9,4.07,15.25,5.99,11.14,1225.78,529.27,11.21,23.38,14.13,5.1,13.19,0.02,452.42,1339.4,11.16,8.14,4.01,4.04,1.04,7.99,4.08,917,849.48,32.26,16.22,4.11,5.02,1256.89,476.92,52.7,0.02,1153.63,527.45,35.36,74.16,4.02,1043.43,597.97,59.53,68.75,0.03,1465.75,190.85,4.17
50001500106,50,001,500106,90,34,0,0,0,1,0,1,92,31,1,2,0,0,0,0,48,76,2,1,1,0,0,1,0,74,48,3,2,2,0,86,31,10,0,80,34,10,3,0,77,40,8,2,0,89,25,1
50001500107,50,001,500107,136,30,0,1,0,2,0,0,136,17,2,8,1,1,0,0,57,106,0,0,0,0,0,0,1,106,51,3,2,1,0,127,26,9,0,116,26,6,13,0,113,29,14,4,0,126,31,0
50001500108,50,001,500108,102,57,3,1,1,4,2,1,114,43,2,3,2,1,2,0,49,119,1,0,1,0,0,0,1,84,78,2,1,1,0,110,48,5,0,95,51,6,9,0,90,56,7,9,0,119,25,0
50001500109,50,001,500109,271.55,211,7.34,0,0.92,4.59,0,1.83,283.48,177.06,1.83,17.43,2.75,0,4.59,0.92,95.41,368.8,7.34,6.42,2.75,3.67,0.92,3.67,6.42,209.17,272.47,1.83,6.42,0,0,296.32,167.89,20.18,0,249.53,188.99,14.68,27.52,0,237.61,200.91,14.68,23.85,0,357.79,71.56,3.67
50001500110,50,001,500110,723,211,8,2,3,8,3,1,714,187,3,9,12,2,8,0,350,573,1,11,3,4,1,1,1,594,308,15,7,8,1,702,167,38,0,645,202,30,47,0,634,213,31,37,0,740,117,3
50001500111,50,001,500111,3479,732,39,16,11,39,3,12,3345,670,63,62,25,8,19,8,1625,2545,18,37,8,9,9,12,9,2776,1267,86,31,29,6,3249,657,164,11,3114,686,127,181,4,2934,834,165,134,5,3316,490,16
50001500112,50,001,500112,960,395,18,2,4,11,0,13,955,352,9,15,13,1,18,1,358,1010,4,8,5,3,3,3,6,721,601,24,15,9,10,962,329,53,4,879,361,36,82,0,791,419,56,73,0,1077,152,10
50001500113,50,001,500113,709.71,383.93,11.63,0.97,3.88,16.48,0,9.69,707.78,348.06,12.6,23.27,7.76,5.82,12.6,0.97,224.95,873.55,10.66,7.76,0.97,2.91,1.94,0.97,4.85,529.37,549.73,17.45,13.57,6.79,1.94,721.34,324.78,36.86,0.97,637.97,358.72,22.3,68.84,1.94,617.61,391.69,34.9,45.57,1.94,898.78,117.32,9.69
50001500114,50,001,500114,367,351,7,3,2,18,1,3,375,278,3,49,9,5,2,2,111,593,12,10,4,3,3,1,5,250,453,7,14,5,1,401,289,21,0,351,297,16,52,0,315,337,18,48,0,570,92,2
50001500115,50,001,500115,269.65,136.32,4.98,0,2.99,2.99,0,1,270.65,119.4,3.98,8.96,2.99,0,2.99,0,95.52,305.47,2.99,1,3.98,1.99,1,1,1.99,196.02,195.02,7.96,6.97,1.99,0,272.64,113.43,17.91,0,238.81,124.38,9.95,33.83,0,225.87,134.33,14.93,28.86,0,320.4,55.72,1.99
50001500116,50,001,500116,280,76,4,3,2,1,3,0,279,53,4,13,2,0,3,0,165,189,0,3,1,1,0,1,1,246,94,7,2,3,2,271,57,17,1,252,62,13,16,0,250,64,9,12,0,263,53,1
50001500117,50,001,500117,388.81,255.25,7.91,0,0.99,12.86,1.98,0.99,432.35,194.9,1.98,15.83,5.94,1.98,0,1.98,156.32,496.65,1.98,3.96,1.98,1.98,1.98,1.98,3.96,300.76,341.33,7.91,8.9,0.99,0.99,421.46,196.88,16.82,0.99,367.05,219.64,14.84,39.57,0,339.35,242.39,12.86,35.62,0,492.7,93,1.98
50001500118,50,001,500118,445,263,11,6,3,10,1,3,461,205,6,29,5,1,4,1,185,527,10,6,3,5,0,0,2,331,362,11,15,2,0,453,205,32,1,400,219,22,51,0,378,240,34,32,0,528,95,7
50001500119,50,001,500119,643.8,335.24,18.08,2.05,7.04,20.08,3.02,4.07,662.79,301.97,10.11,14.06,8.09,2.01,13.11,0.01,292.33,704.78,11.05,3.09,4.02,4.01,2.01,3.02,6.02,491.29,467.35,30.27,14.08,10.1,4.05,668.89,284.68,39.44,0.02,619.23,300.92,32.32,46.53,0,558.69,325.16,51.46,57.52,0,785.95,130.37,7.01
50001500120,50,001,500120,1020.64,430.27,15.08,5.03,5.02,5.06,2.02,2.04,1020.74,370.1,12.04,28.07,15.06,5.02,11.04,3,421.69,1039.25,3.05,13.03,3.02,1.02,3.01,0.03,4.01,766.42,663.4,26.13,8.09,4.01,2.02,1028.77,349.82,57.36,1,956.4,366.11,31.16,81.33,1.01,854.04,430.39,53.22,94.23,0,1145.82,182.75,6.01
50001500121,50,001,500121,229.13,111.73,2.37,1.03,1.14,2.49,1.01,1.14,237.33,97.72,2.24,2.6,4.16,2.07,0.29,0.06,89.07,254.81,1.23,3.19,0.15,0.07,1.03,0.14,0.14,160.7,174.25,6.21,5.2,0.11,1.03,228.26,78.35,34.47,0.01,219.08,97.22,10.42,19.32,0.02,202.09,116.21,9.63,10.99,0.02,294.39,39.69,0.26
50001500122,50,001,500122,526.25,85.64,5.19,1.05,2.02,5.17,1.07,3.09,507.85,81.95,8.07,12.81,3.07,1.05,1.05,1.02,224.18,393.68,0.12,2.12,0.07,0,0.1,0,1.24,427.78,168.89,11.16,3.14,2,2.07,490.68,85.37,19.5,3,479.47,87.02,15.28,20.93,0,439.33,109.56,23.73,13.76,0,498.02,69.89,1.1
50001500123,50,001,500123,148.45,103,1.66,0,0.08,7.41,1,1.17,159.52,74.94,1.17,13.57,1.25,0,2.41,0.08,51.59,178.2,3.66,2.58,20.25,1.33,0.08,0.33,2.58,114.83,135.53,4.17,2.58,0,0,153.68,84.11,9.82,1,141.47,85.01,5.32,16.48,1,123.39,101.09,8.32,15.15,0,193.21,28.44,1.33
50003500301,50,003,500301,928.99,511,21,3,3,15,1,2,921.99,411,4,68,10,14,5,3,385,921.99,78,7,54,3,2,4,3,715,616,37,33,8,0,852.99,465,63,0,791.99,464,51,91,2,738.99,492,62,75,2,1007.99,252,7
50003500302,50,003,500302,2221.51,1190.59,25.95,15.97,20.96,45.91,8.98,11.98,2193.57,920.14,31.94,144.71,53.89,18.96,18.96,10.98,1135.71,1865.23,311.37,42.91,62.87,9.98,11.98,8.98,8.98,1933.09,1228.52,101.79,74.85,22.95,13.97,1988.98,1021.94,225.54,8.98,1885.19,1002.97,136.72,239.52,5.99,1812.34,1040.9,147.7,230.53,3.99,2292.37,611.76,29.94
50003500303,50,003,500303,2147.49,1282.41,37.05,19.03,10.04,45.09,1.02,12.02,1842.43,959.86,28.06,180.29,51.11,31.04,29.04,12.02,1021.29,1919.77,316.63,46.09,71.13,19.02,16.02,14.02,15.02,1799.91,1326.48,108.21,114.15,20.05,17.03,1962.02,1097.06,223.46,8.02,1822.81,1064.03,137.28,273.48,7.01,1738.66,1135.1,156.3,245.47,9.01,2300.63,663.24,21.06
50003500304,50,003,500304,997,377,10,5,2,10,3,9,930,353,12,30,9,17,5,0,402,928,25,13,15,2,0,3,3,731,562,24,17,10,1,834,389,56,5,814,402,38,49,2,753,447,51,41,2,986,179,20
50003500305,50,003,500305,3,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,2,0,0,0,0,3,2,0,0,3,2,0,0,0,3,2,0,0,0,4,1,0
50003500306,50,003,500306,124.22,23.6,1.12,0.07,0.07,1.12,0,0.05,112.23,25.5,0.21,2.33,1.22,3.87,0.03,0,40.58,109.72,0.35,0.23,0.1,0,0.02,0.02,0,93.47,50.89,2.7,0.16,0.1,0.07,106.35,26.91,5.36,0.02,105.7,23.23,6.9,5.1,0.02,96.07,35.25,4.7,3.62,0.02,107.03,19.28,0.1
50003500307,50,003,500307,1985,732,21,5,7,26,3,6,1854,648,21,68,25,39,12,3,787,1809,51,22,38,1,4,4,8,1462,1074,61,36,19,3,1670,722,122,7,1624,709,101,124,3,1498,826,114,101,6,1883,378,21
50003500308,50,003,500308,220.65,71.42,2.02,2,3,1.02,1,2,198.4,67.49,2,7.05,0.02,14.07,0,1,116.84,170.3,3,5,0,0,0,2,1,177,105.02,7.05,1,1,0,188.28,77.51,18.09,1,183.28,77.42,13.14,13.09,0,170.07,84.7,18.07,7.07,0,208.26,38.37,4
50003500309,50,003,500309,892,831,21,5,5,23,0,1,902,658,4,89,32,16,4,1,457,999,209,22,32,7,7,7,2,766,828,42,55,9,4,837,744,93,0,790,707,52,133,0,762,733,60,111,2,1129,324,5
50003500310,50,003,500310,203,212,5,1,1,8,0,1,198,195,5,9,3,5,1,0,123,249,27,7,2,2,3,3,0,174,219,11,11,0,0,187,185,26,0,188,179,10,33,0,180,188,14,27,0,282,63,2
50003500311,50,003,500311,269,154,3,1,1,6,0,3,251,148,4,14,3,6,2,1,136,266,11,3,6,0,2,0,8,221,181,12,11,0,4,235,148,27,1,231,149,16,19,1,218,169,18,9,0,295,73,5
50003500312,50,003,500312,147.01,96,4,0,0,3,0,3,128.01,90,4,15,2,3,2,0,84,136.01,11,2,13,0,1,1,1,113,115,10,6,4,1,137.01,89,10,0,112.01,101,15,10,0,116.01,90,17,16,0,148.01,56,6
50003500313,50,003,500313,28,36,0,0,0,0,0,0,26,33,0,0,1,0,0,0,14,47,1,0,0,0,0,0,0,17,42,1,2,0,0,23,34,2,1,25,33,1,1,0,21,36,0,3,0,39,9,4
50003500314,50,003,500314,1343,816,19,7,11,20,1,3,1297,677,13,88,24,16,7,3,647,1333,144,12,33,2,6,8,7,1115,941,41,34,9,4,1225,754,91,2,1192,710,71,111,2,1111,773,84,106,3,1545,335,14
50003500315,50,003,500315,254,267,6,2,1,5,2,2,231,220,1,27,11,4,4,2,102,329,55,4,6,9,2,0,2,206,254,10,22,3,1,224,224,28,1,207,228,10,40,0,195,232,16,38,0,346,55,3
50003500316,50,003,500316,386,240,15,5,3,3,0,0,390,211,2,23,4,8,2,0,159,423,39,4,14,2,1,0,1,321,290,9,10,1,0,364,222,30,1,358,228,15,30,0,327,240,21,28,0,441,102,3
50003500317,50,003,500317,473.36,183.18,4.95,0.02,0.11,12.88,1,0.06,415.79,170.67,4.93,8.18,5.05,25,0.99,0,189.63,448.33,8.94,7.9,5.93,0.99,1.97,3.94,0.99,372.58,240.42,17.95,3.98,0.99,3.94,387.86,195.06,42.76,0,382.87,186.03,38.79,25.03,0.99,337.07,217.77,44.87,17.08,0.99,451.64,119.8,3.01
50003500318,50,003,500318,95,96,4,1,0,0,0,0,105,67,0,14,1,1,1,1,51,110,22,0,5,1,0,1,1,87,91,2,6,3,1,95,81,7,1,87,78,0,20,1,85,80,8,11,2,136,28,2
50005050050,50,005,050050,1213.48,1139.91,29.12,6.04,9.04,43.14,3.01,7.03,1328.48,945.35,11.1,37.18,34.14,9.06,9.08,3.02,424.62,1872.45,30.16,31.11,11.06,5.05,20.1,11.06,10.07,886.82,1409.2,39.23,36.17,6.07,5.03,1290.31,909.42,113.46,6.02,1136.88,978.46,68.34,145.63,2,1043.48,1061.68,85.37,126.69,3.02,1776.96,335.52,16.05
50005050501,50,005,050501,620.18,434.33,5.96,7.95,0.99,9.94,0.99,7.95,639.07,363.76,10.93,12.92,19.88,4.97,3.98,0,252.45,764.3,13.91,7.95,7.95,0.99,6.96,6.96,9.94,503.9,496.94,28.82,15.9,3.98,0.99,613.23,378.67,46.71,0.99,558.56,380.66,27.83,67.58,0.99,524.77,405.51,38.76,45.72,0.99,808.03,140.14,5.96
50005500501,50,005,500501,537.74,368.56,5.09,3.04,3,8.01,3.02,2.04,554.84,308.26,4.11,10.08,10.06,5.02,6.01,3,182.57,699.74,3,5.11,2,2,5.02,6.02,9.06,395.97,484.13,13.05,5.07,2.02,3.02,518.68,306.19,47.24,1.02,487.72,319.13,26.18,37.17,0,449.67,355.24,21.07,42.18,1,655.9,127.72,7.99
50005500503,50,005,500503,849.17,554.24,16.85,8.93,2.99,17.84,0.99,7,870.05,481.75,5.98,18.93,18.86,10.9,3.96,1.99,277.25,1126.15,14.88,8.93,4.99,1.98,8.92,5.97,5.95,592.21,796.22,18.89,10.9,1.99,2.06,850.83,464.96,49.87,3.98,796.31,488.99,22.94,69.44,1.01,766.79,521.47,31.82,51.57,1.01,1112.71,150.86,4.98
50005500504,50,005,500504,248,272,8,5,2,10,1,3,274,219,4,9,21,4,2,0,97,411,13,4,1,2,3,4,2,216,300,10,9,3,0,269,227,24,0,235,243,13,30,0,239,231,13,31,0,403,70,1
50005500505,50,005,500505,923.9,570.99,17.84,8.92,4.96,33.7,0.99,1.98,956.61,462.94,17.84,27.76,29.74,9.91,15.86,2.97,393.55,1098.37,15.86,21.81,4.96,3.97,5.95,2.97,2.97,664.18,780.16,44.61,21.81,9.91,2.97,940.75,477.81,71.37,0.99,842.61,496.65,50.56,101.11,1.98,790.07,546.21,64.44,79.3,1.98,1154.87,230.97,6.94
50005500506,50,005,500506,185.62,126.03,3.91,1.95,0,0.98,0.98,1.95,190.5,110.39,4.88,3.91,2.93,0.98,0.98,0,75.22,235.45,0,4.88,0,0,0.98,0.98,2.93,145.56,156.32,2.93,2.93,0.98,0.98,181.71,107.46,12.7,0.98,181.7,105.51,8.79,8.79,0,177.79,112.35,3.91,9.77,0,239.34,37.13,0
50005500508,50,005,500508,169.94,159.62,2.99,1.03,1.05,10.92,0.02,2.04,175.22,142.25,2.04,8.01,6.99,4.94,2,1.01,55.48,260.03,8,5.01,2.98,1.01,5.01,0.01,3.98,131.7,185.86,6.04,6.94,1.01,1.02,173.31,130.23,14,5.93,147.06,143.26,5.99,30.08,2.02,148.97,146.48,5.05,23.92,1.03,237.54,46.03,4.94
50005500509,50,005,500509,353.33,139.55,3.96,2.97,1.98,3.96,0,7.92,364.22,110.85,4.95,13.86,6.93,1.98,0,0.99,129.65,361.25,4.95,2.97,3.96,0,1.98,3.96,1.98,272.17,205.86,9.9,1.98,0.99,7.92,322.65,112.83,40.58,1.98,309.78,141.53,18.8,20.78,1.98,323.64,126.68,16.83,13.86,1.98,400.83,52.45,2.97
50005500510,50,005,500510,328.98,297.93,4,3,0,7,5,2,323,232.95,30.98,15.99,13,4,4,0,109,491.92,13,8,3,3,3,5,2,295.01,321.9,10,11,1,2,324.98,267.93,25,0,305.96,268.94,11,37,0,307.97,258.95,21,24,1,479.91,93.99,3
50005500511,50,005,500511,202.3,168.94,5.11,1.04,2.04,6.13,0,0.09,200.95,141.84,6.04,7.07,11.15,2.04,3.04,0,84.14,264.47,4.17,13.09,0,0,5.15,1.09,7.15,139.91,217,11.17,6.13,1.02,0.11,195.84,140.52,23.35,0,161.06,157.67,13.32,29.78,0,168.82,155.01,14.3,19.63,0,275.98,59.79,0.06
50005500512,50,005,500512,2051.57,1236.02,41.33,11.97,14.07,45.43,2.11,11.02,2047.14,1059.58,34.24,60.16,45.37,17.06,26.26,6.04,842.49,2340.67,55.68,38.28,19,16.07,33.18,19.06,21.44,1525.67,1638.99,74.84,57.23,23.05,9.36,2002.26,1085.33,143.32,7.04,1861.61,1095.47,109.36,205.69,1,1735.8,1159.13,123.15,222.97,4.99,2534.38,481.19,15.12
50005500513,50,005,500513,82.76,28.45,1.01,0,0.01,2.04,0,1,86.78,20.39,0.02,0.01,3.03,2,0.01,0,39.34,70.85,1.02,0.01,0,0,1.01,0,1.01,69.55,38.62,0.03,1.02,0.01,0,77.76,25.4,6.06,0,74.69,24.4,5.06,3.07,0,75.68,24.46,3.05,3.03,0,87.92,14.17,1.01
50005500514,50,005,500514,241.37,270.54,4.92,1.97,1.97,6,0,3.93,270.73,220.52,1.98,3.03,6.92,2.02,1.98,0.01,97.37,386.04,7.91,3.97,0.04,0.01,6.9,3.91,6.89,178.39,318.72,7.89,5.95,0.99,4.9,265.82,205.72,15.8,0.07,230.34,212.72,14.72,35.53,0.02,219.62,228.39,13.73,28.62,0.01,363.3,81.63,2.99
50005500515,50,005,500515,344.37,203.11,3.93,0.99,3.92,16.67,0.98,0.98,354.18,175.61,6.87,5.89,11.77,1.97,2.95,1.96,155,387.58,7.85,5.89,0.98,0,3.92,1.96,2.94,250.18,282.57,12.76,7.85,3.92,0.98,346.34,180.52,26.49,0,312,180.53,25.5,30.43,0,309.02,208.97,22.57,12.78,0,419.93,75.56,5.88
50005500516,50,005,500516,401.4,368.15,7.59,0.05,1.89,9.5,1.89,0.99,410.96,317.66,5.73,5.75,8.62,1.92,5.69,0.94,135.66,604.38,14.25,6.66,0.99,1.89,4.76,1.93,8.56,275.08,455.42,18.12,6.71,1.91,6.62,393.8,314.92,29.56,0.95,358.52,317.77,28.5,39.14,0.01,338.48,349.08,25.74,27.67,0.01,575.38,112.3,2.87
50005500517,50,005,500517,235.98,199.99,5,1,2,7,1,0,251.98,161.99,3,5,10,2,2,0,111.99,300.98,16,7,0,2,4,2,3,189.99,235.98,10,4,3,0,250.98,156.99,11,1,223.98,171.99,8,25,0,207.99,185.99,10,25,0,318.98,64,0
50007500701,50,007,500701,581.17,234.56,6.61,1.07,1.2,9.41,4.07,2.2,577.01,200.59,17.75,10.48,6.89,3.34,6.34,0.07,224.34,598.12,3.48,3.48,1.2,3.14,0,1.2,7,454.42,326.92,10.95,9.89,11.14,6.14,578.05,185.75,30.66,2.2,544.74,195.93,22.43,37.39,0,484.6,226.63,33.36,45.66,0,657.21,92.22,3.2
50007500702,50,007,500702,21.28,6.57,0.06,0.03,0.03,0.06,0.02,0.05,21.28,5.39,0.07,0.05,0.06,0.01,0.08,0.01,9.26,18.64,0.04,0.06,0.02,0.01,0.01,0.02,0.02,17.25,9.34,1.18,0.06,0.07,0.04,21.35,5.19,1.3,0.01,19.9,5.35,1.22,1.36,0,18.53,6.52,1.32,1.36,0,21.43,3.93,0.01
50007500703,50,007,500703,2365.05,168.33,22.88,23.27,10.51,14.06,4.27,3.34,1963.12,160.54,109.8,46.34,31.2,7.51,12.82,5.5,1374.76,1064.74,8.99,26.84,14.77,16.13,6.51,6.3,7.33,1831.44,315.67,155.95,34.73,100.55,11.1,1958.83,152.56,238.18,12.82,1853.56,159.16,194.96,165.75,1.61,1767.36,232.53,240.7,108.17,3.57,1723.44,497.94,7.24
50007500704,50,007,500704,2124.39,168.41,14.68,21.47,10.54,19.48,6.74,5.87,1771.07,140.48,120.84,44.79,36.35,6.31,12.72,3.47,1373.18,862.37,11.03,23.85,10.74,11.12,5.73,9.91,4.78,1673.1,296.91,147.5,31.9,88.69,12.94,1796.93,139.77,229.56,4.91,1680.5,142.53,193.93,166.18,2.79,1608.99,187.6,242.53,123.59,3.2,1563.73,487.99,5.99
50007500705,50,007,500705,2217.15,217.76,15.68,21.39,9.88,24.09,8.05,8.99,1903.83,189.02,102.31,43.11,33.34,6.33,12.71,3.16,1393.9,1015.91,10.29,21.22,8.85,7.49,4.58,8.59,4.52,1755.28,400.43,130.35,29.35,81.45,15.01,1935.5,182.46,212.22,5.5,1811.18,197.58,173.92,162.2,2.5,1716.23,248.82,218.31,135.07,3.19,1748.6,451.95,6.97
50007500706,50,007,500706,1741.21,346.68,15.35,11.2,6.6,17.85,6.27,8.08,1596.58,295.78,29.44,25.84,17.38,3.5,8.55,2.19,842.48,1235.71,11.92,13.84,6.99,5.09,2.72,2.81,2.92,1367.44,597.64,53.92,19.08,37.03,8.18,1668.47,263.2,102.06,6.8,1567.69,292.11,77.61,96.74,1.41,1422.89,362.32,97.96,123.85,1.07,1662.72,230.7,10.33
50007500707,50,007,500707,4494.23,419.9,28.01,34.07,22.16,31.12,15.26,17.82,3952.37,388.16,133.77,60.11,51.16,6.97,13.25,8.1,2387.64,2449.12,10.85,33.41,13.35,18.26,4.02,12.58,14.71,3609.27,867.96,183,42.63,94.44,37.78,4068.29,357.74,290.4,11.92,3810.35,394.97,263.38,240.11,5.58,3614.44,510.93,310.02,209.24,3.52,3680.86,695.98,20.98
50007500708,50,007,500708,1720.16,148.85,14.19,14.1,8.57,11.63,5.48,5.77,1478.27,137.16,61.05,30.03,23.47,3.3,6.23,3.04,944.97,880.46,5.57,15.37,6.5,9.15,1.3,5.65,4.96,1372.07,298.32,80.39,20.3,43.81,12.25,1519.52,129.13,124.24,4.79,1421.59,139.68,111.01,103.91,2.07,1356.31,185.96,129.86,78.24,1.72,1357.05,290.1,7.13
50007500709,50,007,500709,3406.56,745.51,30.76,19.86,13.43,33.72,12.18,15,3136.75,627.48,53.01,51.87,35.54,6.55,17.42,4.31,1584.08,2537.79,26.81,28.52,14.89,11.31,5.28,6.12,5.18,2669.18,1253.68,98.09,39.36,67.22,13.85,3304.35,555.62,188.92,13.12,3095.61,612.3,145.89,190.75,3.08,2793.91,758.36,182.86,255.23,1.94,3318.53,439.53,22
50007500710,50,007,500710,947.1,66.47,11.84,9.71,4.51,6.42,2.3,1.71,770.24,61.1,48.36,23.98,16.64,2.85,5.05,1.58,570.62,402.2,4.72,11.7,5.61,7.65,1.4,3.54,2.04,736.66,121.09,62.64,15.87,38.02,3.57,778.81,60.82,93.67,3.46,733.93,61.9,78.04,71.85,0.85,706.49,90.66,93.85,41.45,1.3,678.72,199.26,2.4
50007500711,50,007,500711,2285,511,32,9,12,27,4,6,2184,527,27,13,17,6,19,3,838,1979,4,14,5,2,3,2,3,1725,954,48,19,20,11,2136,465,68,3,2019,520,45,92,2,1807,645,83,104,1,2166,218,10
50007500712,50,007,500712,6580.34,2878.8,99.34,32.93,33.64,78.6,18.47,33.66,6546,2570.3,67.11,89.3,82.39,25.53,39.93,9.24,2167.39,7273.23,45.73,58.2,29.51,32.76,11.29,15.27,24.38,4669.6,4488.62,144.03,99.11,50.48,15.72,6683.02,2223.82,311.31,18.53,6171.55,2378.55,193.13,459.33,7.04,5120.53,2986.24,276.3,677.64,8.07,7536.21,854.58,37.94
50007500713,50,007,500713,3677.52,1391.86,46.9,9.49,22.26,38.79,8.31,25.36,3541.82,1387.96,15.08,55.8,28.16,15.59,20.75,5.53,1175.76,3903.22,16.9,26,17.47,16.77,13.85,2.87,14.69,2595.83,2284.02,91.84,49.09,19.93,16.41,3650.9,1146.42,139.31,9.58,3362.89,1253.58,81.3,232.45,4.46,2737.18,1443.9,93.28,593.69,5.4,4028.4,474.64,28.95
50007500714,50,007,500714,1127,452,25,4,4,10,0,9,1107,460,9,9,8,4,5,1,342,1230,11,6,8,7,3,3,6,832,725,13,14,9,1,1125,398,29,10,1043,425,24,55,0,839,490,26,173,6,1253,150,7
